page,index_name,position,reference,paragraph
3,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","(5, 45)","Pietro Perugino, by that time an old man",1.0
3,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","(203, 206)",him,1.0
3,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","(272, 280)",Perugino,1.0
3,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","(497, 505)",Pietro's,1.0
3,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","(533, 536)",his,1.0
3,"San Gallo, Aristotile (Bastiano) da","(123, 185)","a nephew of Giuliano and Antonio da San Gallo, called Bastiano",1.0
3,"San Gallo, Aristotile (Bastiano) da","(241, 248)",the boy,1.0
3,"San Gallo, Aristotile (Bastiano) da","(287, 289)",he,1.0
3,"San Gallo, Aristotile (Bastiano) da","(465, 467)",he,1.0
3,"San Gallo, Aristotile (Bastiano) da","(818, 826)",Bastiano,1.0
3,"San Gallo, Aristotile (Bastiano) da","(840, 843)",his,1.0
3,"San Gallo, Aristotile (Bastiano) da","(960, 963)",his,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1018, 1026)",Bastiano,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1199, 1201)",he,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1210, 1217)",himself,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1261, 1264)",him,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1281, 1283)",he,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1499, 1501)",he,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1601, 1604)",him,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1655, 1658)",him,1.0
3,"San Gallo, Aristotile (Bastiano) da","(1785, 1793)",Bastiano,1.0
3,"Ghirlandajo, Ridolfo","(797, 816)",Ridolfo Ghirlandajo,1.0
3,"Ghirlandajo, Ridolfo","(833, 836)",him,1.0
3,"Ghirlandajo, Ridolfo","(888, 891)",him,1.0
3,"Buonarroti, Michelagnolo","(560, 570)",Buonarroti,1.0
3,"Buonarroti, Michelagnolo","(1435, 1445)",Buonarroti,1.0
4,"San Gallo, Aristotile (Bastiano) da","(46, 56)",Aristotile,2.0
4,"San Gallo, Aristotile (Bastiano) da","(58, 60)",he,2.0
4,"San Gallo, Aristotile (Bastiano) da","(133, 135)",he,2.0
4,"San Gallo, Aristotile (Bastiano) da","(233, 235)",he,2.0
4,"San Gallo, Aristotile (Bastiano) da","(398, 408)",Aristotile,2.0
4,"San Gallo, Aristotile (Bastiano) da","(460, 463)",his,2.0
4,"San Gallo, Aristotile (Bastiano) da","(3, 6)",his,3.0
4,"San Gallo, Aristotile (Bastiano) da","(20, 30)",Aristotile,3.0
4,"San Gallo, Aristotile (Bastiano) da","(59, 62)",his,3.0
4,"San Gallo, Aristotile (Bastiano) da","(116, 118)",he,3.0
4,"San Gallo, Aristotile (Bastiano) da","(134, 137)",his,3.0
4,"San Gallo, Aristotile (Bastiano) da","(260, 262)",he,3.0
4,"San Gallo, Aristotile (Bastiano) da","(297, 300)",his,3.0
4,"San Gallo, Aristotile (Bastiano) da","(649, 657)",Bastiano,3.0
4,"San Gallo, Aristotile (Bastiano) da","(455, 465)",Aristotile,3.0
4,"San Gallo, Aristotile (Bastiano) da","(484, 487)",him,3.0
