artist1,artist2,dice_coefficient,page,paragraph,activity,start,end
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.3076923076923077,199,179,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.3076923076923077,200,180,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.3076923076923077,201,181,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.3076923076923077,201,182,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.3076923076923077,203,183,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.3076923076923077,204,184,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Valdambrina, Francesco di",0.058823529411764705,200,180,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Colle, Simone da (Simone de' Bronzi)",0.058823529411764705,200,180,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.3902439024390244,200,180,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.3902439024390244,201,181,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
