Name,Page Range
Berna,1-6
Duccio,7-12
Antonio Viniziano,13-20
Jacopo Di Casentino,21-26
Spinello Aretino,27-40
Gherardo Starnina,41-46
Lippo,47-52
Don Lorenzo Monaco,53-58
Taddeo Bartoli,59-64
Lorenzo Di Bicci,65-74
The Author's Preface to the Second Part,75-88
Jacopo della Quercia [Jacopo della Fonte],89-98
Niccolò Aretino [Niccolò d'Arezzo or Niccolò di Piero Lamberti],99-104
Dello,105-110
Nanni D'Antonio Di Banco,111-116
Luca Della Robbia,117-128
Paolo Uccello,129-140
Lorenzo Ghiberti [Lorenzo di Cione Ghiberti or Lorenzo di Bartoluccio Ghiberti],141-162
Masolino Da Panicale,163-168
Parri Spinelli,169-180
Masaccio,181-192
Filippo Brunelleschi [Filippo di Ser Brunellesco],193-236
Donato [Donatello],237-256
Michelozzo Michelozzi,257-272
