Name,Page Range
,PAGE
"Filippo Lippi, called Filippino",1-10
Bernardino Pinturicchio,11-20
Francesco Francia,21-30
"Pietro Perugino [Pietro Vannucci, or Pietro da Castel
  della Pieve]",31-48
"Vittore Scarpaccia [Carpaccio], and other Venetian and
  Lombard Painters",49-62
"Jacopo, called L'Indaco",63-68
Luca Signorelli [Luca da Cortona],69-76
The Author's Preface to the Third Part,77-86
Leonardo da Vinci,87-106
Giorgione da Castelfranco,107-114
Antonio da Correggio,115-122
Piero di Cosimo,123-134
Bramante da Urbino,135-148
Fra Bartolommeo di San Marco [Baccio della Porta],149-162
Mariotto Albertinelli,163-172
Raffaellino del Garbo,173-180
Torrigiano,181-188
[Pg vi] Giuliano and Antonio da San Gallo,189-206
Raffaello da Urbino [Raffaello Sanzio],207-250
Guglielmo da Marcilla [Guillaume de Marcillac],251-262
"Simone, called Il Cronaca [Simone del Pollaiuolo]",263-276
Domenico Puligo,277-284
