Name,Page Range
,PAGE
"Andrea da Fiesole [Andrea Ferrucci], and Others",1-8
"Vincenzio da San Gimignano [Vincenzio Tamagni], and Timoteo
    da Urbino [Timoteo della Vite]",9-18
Andrea dal Monte Sansovino [Andrea Contucci],19-32
Benedetto da Rovezzano,33-38
"Baccio da Montelupo, and Raffaello his son",39-46
Lorenzo di Credi,47-52
Lorenzetto and Boccaccino,53-60
Baldassarre Peruzzi,61-74
"Giovan Francesco Penni [called Il Fattore], and Pellegrino
    da Modena",75-82
Andrea del Sarto,83-120
Madonna Properzia de' Rossi,121-128
"Alfonso Lombardi, Michelagnolo da Siena, Girolamo Santa
    Croce, and Dosso and Battista Dossi",129-142
"Giovanni Antonio Licinio of Pordenone, and Others",143-156
Giovanni Antonio Sogliani,157-166
Girolamo da Treviso,167-172
Polidoro da Caravaggio and Maturino,173-186
[Pg vi] Il Rosso,187-204
"Bartolommeo da Bagnacavallo, and Others",205-214
Franciabigio [Francia],215-224
Morto da Feltro and Andrea di Cosimo Feltrini,225-234
Marco Calavrese,235-240
Francesco Mazzuoli [Parmigiano],241-256
Jacopo Palma [Palma Vecchio] and Lorenzo Lotto,257-266
