Name,Page Range
"Fra Giocondo, Liberale, and Others",1-54
Francesco Granacci [Il Granaccio],55-62
Baccio d' Agnolo,63-72
"Valerio Vicentino [Valerio Belli], Giovanni da Castel
  Bolognese [Giovanni Bernardi], Matteo dal Nassaro,
  and Others",73-88
"Marc' Antonio Bolognese, and Others",89-120
Antonio da San Gallo,121-142
Giulio Romano,143-170
Fra Sebastiano Viniziano del Piombo,171-186
Perino del Vaga,187-226
"Giorgio Vasari, to the Craftsmen in Design",227-232
Domenico Beccafumi,233-252
Giovanni Antonio Lappoli,253-266
Niccolò Soggi,267-280
