,,page,paragraph,positions,text_snippet
"Buonarroti, Michelagnolo","Granacci, Francesco (Il Granaccio)",5,3.0,"(190, 219)","Granacci, loving Michelagnolo"
"Ghirlandajo, Domenico","Granacci, Francesco (Il Granaccio)",5,3.0,"(55, 178)","Francesco Granacci, who, likewise a lad, had placed himself with Domenico Ghirlandajo in order to learn the art of painting"
"Buonarroti, Michelagnolo","Ghirlandajo, Domenico",6,4.0,"(190, 201)",him that he
Bertoldo,Donato (Donatello),8,6.0,"(664, 681)",his master Donato
Bertoldo,"Ghirlandajo, Domenico",8,6.0,"(896, 1223)","him. Now Lorenzo, who bore a very great love to painting and to sculpture, was grieved that there were not to be found in his time sculptors noble and famous enough to equal the many painters of the highest merit and reputation, and he determined, as I have said, to found a school. To this end he besought Domenico Ghirlandajo"
Bertoldo,"Buonarroti, Michelagnolo",8,6.0,"(896, 1572)","him. Now Lorenzo, who bore a very great love to painting and to sculpture, was grieved that there were not to be found in his time sculptors noble and famous enough to equal the many painters of the highest merit and reputation, and he determined, as I have said, to found a school. To this end he besought Domenico Ghirlandajo that, if he had among the young men in his workshop any that were inclined to sculpture, he might send them to his garden, where he wished to train and form them in such a manner as might do honour to himself, to Domenico, and to the whole city. Whereupon there were given to him by Domenico as the best of his young men, among others, Michelagnolo"
Donato (Donatello),"Ghirlandajo, Domenico",8,6.0,"(664, 1223)","his master Donato, but also on account of many castings in bronze that he had executed himself, of battles and certain other small works, in the execution of which there was no one to be found in Florence at that time who surpassed him. Now Lorenzo, who bore a very great love to painting and to sculpture, was grieved that there were not to be found in his time sculptors noble and famous enough to equal the many painters of the highest merit and reputation, and he determined, as I have said, to found a school. To this end he besought Domenico Ghirlandajo"
"Buonarroti, Michelagnolo",Donato (Donatello),133,200.0,"(178, 1068)","his right hand, were figures considerably larger than life of the most famous and most highly celebrated sculptors and painters of antiquity. Each of these could be recognized by some notable sign; Praxiteles by the Satyr that is in the Vigna of Pope Julius III, Apelles by the portrait of Alexander the Great, Zeuxis by a little panel on which were figured the grapes that deceived the birds, and Parrhasius with the covering counterfeited in painting over his picture; and, even as these, so the others were known by other signs. On the left hand were those who have been illustrious in these arts in our own centuries, from Cimabue to the present day. Thus Giotto could be recognized there by a little panel on which was seen the portrait of Dante as a young man, in the manner in which he may be seen in S. Croce, painted by Giotto himself; Masaccio by his portrait from life, Donatello"
"Buonarroti, Michelagnolo",Torrigiano,10,8.0,"(720, 750)",him more honoured than himself
"Buonarroti, Michelagnolo","Vinci, Leonardo da",19,20.0,"(357, 380)","Leonardo, taking as his"
"Buonarroti, Michelagnolo","Francia, Francesco",26,26.0,"(2273, 2289)","Michelagnolo, he"
"Buonarroti, Michelagnolo","Sanzio, Raffaello (Raffaello da Urbino)",27,28.0,"(323, 350)",Raffaello in Michelagnolo's
"Buonarroti, Michelagnolo","Urbino, Bramante da",28,28.0,"(1984, 1999)",Bramante how he
"Sanzio, Raffaello (Raffaello da Urbino)","Urbino, Bramante da",189,285.0,"(495, 551)",Bramante caused to be seen by Raffaello Sanzio of Urbino
"Buonarroti, Michelagnolo","San Gallo, Giuliano da",30,30.0,"(1270, 1281)","him, and he"
"Buonarroti, Michelagnolo","Sansovino, Jacopo (Jacopo Tatti)",224,323.0,"(290, 300)",he was his
"Buonarroti, Michelagnolo","Sarto, Andrea del (Andrea d' Agnolo)",43,44.0,"(495, 797)","Michelagnolo was then summoned to Rome by Pope Clement VII, who had made a beginning with the library of S. Lorenzo and also the new sacristy, in which he proposed to place the marble tombs that he was having made for his forefathers; and he resolved that Vasari should go to work with Andrea del Sarto"
"Bandinelli, Baccio (Baccio de' Brandini)","Buonarroti, Michelagnolo",49,53.0,"(1155, 1179)",Baccio. But Michelagnolo
"Buonarroti, Michelagnolo","Cinque, Battista del",51,57.0,"(796, 1001)","his models by the hands of the Florentines Carota and Tasso, excellent carvers and also masters of carpentry; and likewise the shelves for the books, which were executed at that time by Battista del Cinque"
