artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Galassi, Galasso (Galasso Ferrarese)",0.0006531678641410843,Cristofano,0.0006531678641410843,1.0,10.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Galassi, Galasso (Galasso Ferrarese)",0.0006531678641410843,Simone,0.0006531678641410843,1.0,10.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.0006531678641410843,"Galassi, Galasso (Galasso Ferrarese)",0.0006531678641410843,1.0,10.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.0006531678641410843,Simone,0.0006531678641410843,1.0,10.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.0006531678641410843,"Galassi, Galasso (Galasso Ferrarese)",0.0006531678641410843,1.0,10.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.0006531678641410843,Cristofano,0.0006531678641410843,1.0,10.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Montepulciano, Marco da",0.0006531678641410843,"Lorenzo, Neri di",0.0006531678641410843,1.0,10.580258567499788,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Lorenzo, Neri di",0.0006531678641410843,"Montepulciano, Marco da",0.0006531678641410843,1.0,10.580258567499788,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Linaiuolo, Berto",0.0006531678641410843,"Camicia, Chimenti",0.0006531678641410843,1.0,10.580258567499788,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Camicia, Chimenti",0.0006531678641410843,"Linaiuolo, Berto",0.0006531678641410843,1.0,10.580258567499788,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bolognese, Biagio (Biagio Pupini)",0.0006531678641410843,"Cotignola, Girolamo da (Girolamo Marchesi)",0.0006531678641410843,1.0,10.580258567499788,[211],['298.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cotignola, Girolamo da (Girolamo Marchesi)",0.0006531678641410843,"Bolognese, Biagio (Biagio Pupini)",0.0006531678641410843,1.0,10.580258567499788,[211],['298.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0006531678641410843,"Cattaneo, Danese (Danese da Carrara)",0.0006531678641410843,1.0,10.580258567499788,[27],['50.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cattaneo, Danese (Danese da Carrara)",0.0006531678641410843,"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0006531678641410843,1.0,10.580258567499788,[27],['50.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Canneri, Anselmo",0.0006531678641410843,"Caliari, Paolo (Paolo Veronese)",0.0006531678641410843,1.0,10.580258567499788,[22],['40.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Caliari, Paolo (Paolo Veronese)",0.0006531678641410843,"Canneri, Anselmo",0.0006531678641410843,1.0,10.580258567499788,[22],['40.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cock, Hieronymus",0.0006531678641410843,"Heemskerk, Martin",0.0006531678641410843,1.0,10.580258567499788,[116],['200.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Heemskerk, Martin",0.0006531678641410843,"Cock, Hieronymus",0.0006531678641410843,1.0,10.580258567499788,[116],['200.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Torri, Bartolommeo",0.0006531678641410843,"Clovio, Don Giulio",0.0006531678641410843,1.0,10.580258567499788,[264],['392.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Clovio, Don Giulio",0.0006531678641410843,"Torri, Bartolommeo",0.0006531678641410843,1.0,10.580258567499788,[264],['392.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Tedesco, Jacopo (Lapo)",0.0013063357282821686,Buono,0.0006531678641410843,0.5,9.580258567499788,[14],['17.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Buono,0.0006531678641410843,"Tedesco, Jacopo (Lapo)",0.0013063357282821686,1.0,9.580258567499788,[14],['17.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ghiberti, Bonaccorso",0.0013063357282821686,Polycletus,0.0006531678641410843,0.5,9.580258567499788,[160],['143.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Valdambrina, Francesco di",0.0006531678641410843,"Colle, Simone da (Simone de' Bronzi)",0.0013063357282821686,1.0,9.580258567499788,[200],['180.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Colle, Simone da (Simone de' Bronzi)",0.0013063357282821686,"Valdambrina, Francesco di",0.0006531678641410843,0.5,9.580258567499788,[200],['180.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Galassi, Galasso (Galasso Ferrarese)",0.0006531678641410843,"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,1.0,9.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.0006531678641410843,"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,1.0,9.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,"Galassi, Galasso (Galasso Ferrarese)",0.0006531678641410843,0.5,9.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,Cristofano,0.0006531678641410843,0.5,9.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,Simone,0.0006531678641410843,0.5,9.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,"Verona, Sebeto da",0.0006531678641410843,0.5,9.580258567499788,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.0006531678641410843,"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,1.0,9.580258567499788,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Moccio,0.0006531678641410843,Duccio,0.0013063357282821686,1.0,9.580258567499788,[10],['7.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Duccio,0.0013063357282821686,Moccio,0.0006531678641410843,0.5,9.580258567499788,[10],['7.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Polycletus,0.0006531678641410843,"Ghiberti, Bonaccorso",0.0013063357282821686,1.0,9.580258567499788,[160],['143.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cellini, Baccio",0.0013063357282821686,"Linaiuolo, Berto",0.0006531678641410843,0.5,9.580258567499788,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cellini, Baccio",0.0013063357282821686,"Camicia, Chimenti",0.0006531678641410843,0.5,9.580258567499788,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Linaiuolo, Berto",0.0006531678641410843,"Cellini, Baccio",0.0013063357282821686,1.0,9.580258567499788,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Camicia, Chimenti",0.0006531678641410843,"Cellini, Baccio",0.0013063357282821686,1.0,9.580258567499788,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Zevio, Aldigieri (Altichiero) da",0.0013063357282821686,"Verona, Sebeto da",0.0006531678641410843,0.5,9.580258567499788,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Verona, Sebeto da",0.0006531678641410843,"Zevio, Aldigieri (Altichiero) da",0.0013063357282821686,1.0,9.580258567499788,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Verona, Sebeto da",0.0006531678641410843,"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,1.0,9.580258567499788,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Caraglio, Giovanni Jacopo",0.0013063357282821686,Baviera,0.0006531678641410843,0.5,9.580258567499788,[109],['187.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Baviera,0.0006531678641410843,"Caraglio, Giovanni Jacopo",0.0013063357282821686,1.0,9.580258567499788,[109],['187.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Viviano, Michelagnolo di",0.0013063357282821686,"Prato, Francesco di Girolamo dal",0.0006531678641410843,0.5,9.580258567499788,[73],['91.0'],['6'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Prato, Francesco di Girolamo dal",0.0006531678641410843,"Viviano, Michelagnolo di",0.0013063357282821686,1.0,9.580258567499788,[73],['91.0'],['6'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Agnolo (of Siena),0.0013063357282821686,Agostino (of Siena),0.001959503592423253,1.0,8.995296066778632,"[99, 97]","['131.0', '129.0']","['0', '0']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Agostino (of Siena),0.001959503592423253,Agnolo (of Siena),0.0013063357282821686,0.6666666666666666,8.995296066778632,"[99, 97]","['131.0', '129.0']","['0', '0']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bicci, Lorenzo di",0.001959503592423253,"Montepulciano, Marco da",0.0006531678641410843,0.3333333333333333,8.995296066778632,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bicci, Lorenzo di",0.001959503592423253,"Lorenzo, Neri di",0.0006531678641410843,0.3333333333333333,8.995296066778632,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Montepulciano, Marco da",0.0006531678641410843,"Bicci, Lorenzo di",0.001959503592423253,1.0,8.995296066778632,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Lorenzo, Neri di",0.0006531678641410843,"Bicci, Lorenzo di",0.001959503592423253,1.0,8.995296066778632,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Eyck, Jan van (Johann of Bruges)",0.0006531678641410843,"Messina, Antonello da",0.001959503592423253,1.0,8.995296066778632,[62],['68.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
