id,first_name,middle_name,surname,full_name,alias,pages
"Abacco, Antonio L'",Antonio,L',Abacco,Antonio L' Abacco,,167
"Abate, Niccolï¿½ dell' (Niccolï¿½ da Modena)",Niccolï¿½,dell',Abate,Niccolï¿½ dell' Abate,Niccolï¿½ da Modena,37 38
Agnolo (nephew of Montorsoli),Agnolo,,,Agnolo,nephew of Montorsoli,144 147 151
Agnolo (of Siena),Agnolo,,,Agnolo,Agnolo of Siena,53
"Agnolo, Baccio d' (Baccio Baglioni)",Baccio,d',Agnolo,Baccio d' Agnolo,Baccio Baglioni,116
Agostino (of Siena),Agostino,,,Agostino,Agostino of Siena,53
"Alberti, Michele",Michele,,Alberti,Michele Alberti,,205 210 211
"Albertinelli, Mariotto",Mariotto,,Albertinelli,Mariotto Albertinelli,,62
"Ammanati, Bartolommeo",Bartolommeo,,Ammanati,Bartolommeo Ammanati,,153 220 91 92 99
"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",Battista,d',Angelo,Battista d' Angelo,"Battista d' Agnolo, del Moro",41
"Anguisciuola, Anna",Anna,,Anguisciuola,Anna Anguisciuola,,48
"Anguisciuola, Europa",Europa,,Anguisciuola,Europa Anguisciuola,,45 48
"Anguisciuola, Lucia",Lucia,,Anguisciuola,Lucia Anguisciuola,,45 47 48
"Anguisciuola, Minerva",Minerva,,Anguisciuola,Minerva Anguisciuola,,45 46
"Anguisciuola, Sofonisba",Sofonisba,,Anguisciuola,Sofonisba Anguisciuola,,261 45 46 47 48
"Anselmi, Michelagnolo",Michelagnolo,,Anselmi,Michelagnolo Anselmi,,39 44
"Antonio, Fra",Antonio,,,Fra Antonio,,32
Apelles,Apelles,,,Apelles,,28
"Aretino, Leone (Leone Lioni)",Leone,,Aretino,Leone Aretino,Leone Lioni,184 56
"Bacchiacca, Antonio",Antonio,,Bacchiacca,Antonio Bacchiacca,,20
"Baglioni, Raffaello",Raffaello,,Baglioni,Raffaello Baglioni,,116
"Baldini, Giovanni",Giovanni,,Baldini,Giovanni Baldini,,24 25
"Bandinelli, Baccio (Baccio de' Brandini)",Baccio,,Bandinelli,Baccio Bandinelli,Baccio de' Brandini,113 141 142 146 152 163 191
"Barocci, Federigo",Federigo,,Barocci,Federigo Barocci,,227
"Baronino, Bartolommeo",Bartolommeo,,Baronino,Bartolommeo Baronino,,220
"Barozzi, Jacopo (Vignuola)",Jacopo,,Barozzi,Jacopo Barozzi,Vignuola,220 230 237 238 239 240 259
"Bazzi, Giovanni Antonio (Il Sodoma)",Giovanni,Antonio,Bazzi,Giovanni Antonio Bazzi,Il Sodoma,197
"Begarelli, Antonio (Il Modena)",Antonio,,Begarelli,Antonio Begarelli,Il Modena,38
"Bellini, Giovanni",Giovanni,,Bellini,Giovanni Bellini,,33
"Bello, Raffaello",Raffaello,,Bello,Raffaello Bello,,114
"Bembi, Bonifazio",Bonifazio,,Bembi,Bonifazio Bembi,,42 43
"Bergamo, Fra Damiano da",Damiano,,da Bergamo,Fra Damiano da Bergamo,,169 237
"Bertano, Giovan Battista",Giovan,Battista,Bertano,Giovan Battista Bertano,,40 41
"Betti, Biagio (Biagio da Carigliano)",Biagio,,Betti,Biagio Betti,Biagio da Carigliano,210
"Bigio, Annibale di Nanni di Baccio",Annibale,,di Nanni di Baccio Bigio,Annibale di Nanni di Baccio Bigio,,188
Bizzerra,Bizzerra,,,Bizzerra,,204
"Boccaccino, Boccaccio",Boccaccio,,Boccaccino,Boccaccio Boccaccino,,23 24 42 43 44
"Boccaccino, Camillo",Camillo,,Boccaccino,Camillo Boccaccino,,43
"Bolognese, Biagio (Biagio Pupini)",Biagio,,Bolognese,Biagio Bolognese,Biagio Pupini,32 33
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",Marc',Antonio,Bolognese,Marc' Antonio Bolognese,"Marc' Antonio Raimondi, de' Franci",42
"Bonsignori (Monsignori), Fra Girolamo",Fra,Girolamo,Bonsignori,Fra Girolamo Bonsignori,Monsignori,42
"Borro, Battista",Battista,,Borro,Battista Borro,,178
"Botticelli, Battista",Battista,,Botticelli,Battista Botticelli,,169
Bozzacco (Brazzacco),Bozzacco,,,Bozzacco,Brazzacco,107
