id,first_name,middle_name,surname,full_name,alias,pages
"Abacco, Antonio L'",Antonio,L',Abacco,Antonio L' Abacco,,113 114 130 136 137
"Agnolo, Baccio d' (Baccio Baglioni)",Baccio,d',Agnolo,Baccio d' Agnolo,Baccio Baglioni,65 66 67 68 69 72
"Agnolo, Domenico di Baccio d'",Domenico,,di Baccio d' Agnolo,Domenico di Baccio d' Agnolo,,68 70 72
"Agnolo, Filippo di Baccio d'",Filippo,,di Baccio d' Agnolo,Filippo di Baccio d' Agnolo,,68 70
"Agnolo, Giuliano di Baccio d'",Giuliano,,di Baccio d' Agnolo,Giuliano di Baccio d' Agnolo,,68 69 70 71 72
"Agnolo, Marco di Battista d'",Marco,,di Battista d' Agnolo,Marco di Battista d' Agnolo,,27 28
"Aimo, Domenico (Vecchio of Bologna)",Domenico,,Aimo,Domenico Aimo,Vecchio of Bologna,217
"Alberti, Leon Batista",Leon,Batista,Alberti,Leon Batista Alberti,,45
"Aldegrever, Albrecht (Heinrich)",Albrecht,,Aldegrever,Albrecht Aldegrever,Heinrich,119
"Angelico, Fra (Fra Giovanni da Fiesole)",Angelico,,,Fra Angelico,Fra Giovanni da Fiesole,246
"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",Battista,d',Angelo,Battista d' Angelo,"Battista d' Agnolo, del Moro",108 27 28
"Anichini, Luigi",Luigi,,Anichini,Luigi Anichini,,85
"Aretino, Leone (Leone Lioni)",Leone,,Aretino,Leone Aretino,Leone Lioni,87
"Avanzi, Niccolï¿½",Niccolï¿½,,Avanzi,Niccolï¿½ Avanzi,,79 80
"Baldini, Baccio",Baccio,,Baldini,Baccio Baldini,,91
"Bandinelli, Baccio (Baccio de' Brandini)",Baccio,,Bandinelli,Baccio Bandinelli,Baccio de' Brandini,103 105 111 69 70 71
"Barile, Gian (Giovan)",Gian,,Barile,Gian Barile,Giovan,177
"Barlacchi, Tommaso",Tommaso,,Barlacchi,Tommaso Barlacchi,,104 113
"Barozzi, Jacopo (Vignuola)",Jacopo,,Barozzi,Jacopo Barozzi,Vignuola,114
Baviera,Baviera,,,Baviera,,100 101 109 209
"Bazzi, Giovanni Antonio (Il Sodoma)",Giovanni,Antonio,Bazzi,Giovanni Antonio Bazzi,Il Sodoma,236 237 238 247 249
"Beatricio, Niccolï¿½ (Nicolas Beautrizet)",Niccolï¿½,,Beatricio,Niccolï¿½ Beatricio,Nicolas Beautrizet,114
"Beccafumi, Domenico (Domenico di Pace)",Domenico,,Beccafumi,Domenico Beccafumi,Domenico di Pace,108 213 215 223 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251
"Beham, Hans",Hans,,Beham,Hans Beham,,119
"Bellini, Giovanni",Giovanni,,Bellini,Giovanni Bellini,,173
"Bellini, Jacopo",Jacopo,,Bellini,Jacopo Bellini,,11 35
"Bernardi, Giovanni (Giovanni da Castel Bolognese)",Giovanni,,Bernardi,Giovanni Bernardi,Giovanni da Castel Bolognese,76 77 78 79 83 84
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",Marc',Antonio,Bolognese,Marc' Antonio Bolognese,"Marc' Antonio Raimondi, de' Franci",100 101 102 103 104 105 106 108 109 120 95 96 99
