instance_id,rdf:type,oa:start,oa:end
viewsari:position-selector_24828,doco:TextPositionSelector,248,265
viewsari:position-selector_24829,doco:TextPositionSelector,59,1055
viewsari:position-selector_24830,doco:TextPositionSelector,1340,1390
viewsari:position-selector_24831,doco:TextPositionSelector,1519,1567
viewsari:position-selector_24832,doco:TextPositionSelector,381,399
viewsari:position-selector_24833,doco:TextPositionSelector,55,279
viewsari:position-selector_24834,doco:TextPositionSelector,1887,1904
viewsari:position-selector_24835,doco:TextPositionSelector,389,429
viewsari:position-selector_24836,doco:TextPositionSelector,1277,1296
viewsari:position-selector_24837,doco:TextPositionSelector,99,401
viewsari:position-selector_24838,doco:TextPositionSelector,1184,1196
viewsari:position-selector_24839,doco:TextPositionSelector,1158,1211
viewsari:position-selector_24840,doco:TextPositionSelector,1892,1909
viewsari:position-selector_24841,doco:TextPositionSelector,69,118
viewsari:position-selector_24842,doco:TextPositionSelector,284,302
viewsari:position-selector_24843,doco:TextPositionSelector,0,54
viewsari:position-selector_24844,doco:TextPositionSelector,489,529
viewsari:position-selector_24845,doco:TextPositionSelector,502,529
viewsari:position-selector_24846,doco:TextPositionSelector,398,420
viewsari:position-selector_24847,doco:TextPositionSelector,878,888
viewsari:position-selector_24848,doco:TextPositionSelector,439,484
viewsari:position-selector_24849,doco:TextPositionSelector,14,115
viewsari:position-selector_24850,doco:TextPositionSelector,2107,2149
viewsari:position-selector_24851,doco:TextPositionSelector,485,495
viewsari:position-selector_24852,doco:TextPositionSelector,1807,1821
viewsari:position-selector_24853,doco:TextPositionSelector,501,516
viewsari:position-selector_24854,doco:TextPositionSelector,950,965
viewsari:position-selector_24855,doco:TextPositionSelector,744,916
viewsari:position-selector_24856,doco:TextPositionSelector,168,194
viewsari:position-selector_24857,doco:TextPositionSelector,961,981
viewsari:position-selector_24858,doco:TextPositionSelector,512,522
viewsari:position-selector_24859,doco:TextPositionSelector,512,522
viewsari:position-selector_24860,doco:TextPositionSelector,0,56
viewsari:position-selector_24861,doco:TextPositionSelector,404,424
viewsari:position-selector_24862,doco:TextPositionSelector,217,268
viewsari:position-selector_24863,doco:TextPositionSelector,18,106
viewsari:position-selector_24864,doco:TextPositionSelector,304,323
viewsari:position-selector_24865,doco:TextPositionSelector,259,269
viewsari:position-selector_24866,doco:TextPositionSelector,402,419
viewsari:position-selector_24867,doco:TextPositionSelector,402,737
viewsari:position-selector_24868,doco:TextPositionSelector,941,964
viewsari:position-selector_24869,doco:TextPositionSelector,507,521
viewsari:position-selector_24870,doco:TextPositionSelector,475,642
viewsari:position-selector_24871,doco:TextPositionSelector,577,642
viewsari:position-selector_24872,doco:TextPositionSelector,949,975
viewsari:position-selector_24873,doco:TextPositionSelector,381,401
