instance_id,rdf:type,rdfs:label,viewsari:involves,viewsari:involves_2,prov:wasGeneratedBy,prov:wasDerivedFrom
viewsari:cooccurrence_cim-gio_1,viewsari:cooccurrence,"Co-occurrence of Cimabue, Giovanni and Giotto, Vol. 1, Para. 13",viewsari:cimabue-giovanni,viewsari:giotto,viewsari:cooccurrence_extraction_cim-gio_1,viewsari:annotation_24828
viewsari:cooccurrence_buo-ted_1,viewsari:cooccurrence,"Co-occurrence of Buono and Tedesco, Jacopo (Lapo), Vol. 1, Para. 17",viewsari:buono,viewsari:tedesco-jacopo-lapo,viewsari:cooccurrence_extraction_buo-ted_1,viewsari:annotation_24829
viewsari:cooccurrence_bru-lap_1,viewsari:cooccurrence,"Co-occurrence of Brunelleschi, Filippo (Filippo di Ser Brunellesco) and Lapo, Arnolfo di (Arnolfo Lapi), Vol. 1, Para. 27",viewsari:brunelleschi-filippo-filippo-di-ser-brunellesco,viewsari:lapo-arnolfo-di-arnolfo-lapi,viewsari:cooccurrence_extraction_bru-lap_1,viewsari:annotation_24830
viewsari:cooccurrence_fuc-pis_1,viewsari:cooccurrence,"Co-occurrence of Fuccio and Pisano, Niccola, Vol. 1, Para. 37",viewsari:fuccio,viewsari:pisano-niccola,viewsari:cooccurrence_extraction_fuc-pis_1,viewsari:annotation_24831
viewsari:cooccurrence_pis-pis_1_01,viewsari:cooccurrence,"Co-occurrence of Pisano, Giovanni and Pisano, Niccola, Vol. 1, Para. 46",viewsari:pisano-giovanni,viewsari:pisano-niccola,viewsari:cooccurrence_extraction_pis-pis_1_01,viewsari:annotation_24832
viewsari:cooccurrence_cim-taf_1,viewsari:cooccurrence,"Co-occurrence of Cimabue, Giovanni and Tafi, Andrea, Vol. 1, Para. 70",viewsari:cimabue-giovanni,viewsari:tafi-andrea,viewsari:cooccurrence_extraction_cim-taf_1,viewsari:annotation_24833
viewsari:cooccurrence_apo-taf_1,viewsari:cooccurrence,"Co-occurrence of Apollonio and Tafi, Andrea, Vol. 1, Para. 73",viewsari:apollonio,viewsari:tafi-andrea,viewsari:cooccurrence_extraction_apo-taf_1,viewsari:annotation_24834
viewsari:cooccurrence_gio-taf_1,viewsari:cooccurrence,"Co-occurrence of Giotto and Tafi, Andrea, Vol. 1, Para. 78",viewsari:giotto,viewsari:tafi-andrea,viewsari:cooccurrence_extraction_gio-taf_1,viewsari:annotation_24835
viewsari:cooccurrence_gad-gio_1_01,viewsari:cooccurrence,"Co-occurrence of Gaddi, Gaddo and Giotto, Vol. 1, Para. 229",viewsari:gaddi-gaddo,viewsari:giotto,viewsari:cooccurrence_extraction_gad-gio_1_01,viewsari:annotation_24836
viewsari:cooccurrence_cim-mar_1,viewsari:cooccurrence,"Co-occurrence of Cimabue, Giovanni and Margaritone, Vol. 1, Para. 89",viewsari:cimabue-giovanni,viewsari:margaritone,viewsari:cooccurrence_extraction_cim-mar_1,viewsari:annotation_24837
viewsari:cooccurrence_mar-ted_1,viewsari:cooccurrence,"Co-occurrence of Margaritone and Tedesco, Jacopo (Lapo), Vol. 1, Para. 90",viewsari:margaritone,viewsari:tedesco-jacopo-lapo,viewsari:cooccurrence_extraction_mar-ted_1,viewsari:annotation_24838
viewsari:cooccurrence_ghi-gio_1,viewsari:cooccurrence,"Co-occurrence of Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti) and Giotto, Vol. 1, Para. 111",viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,viewsari:giotto,viewsari:cooccurrence_extraction_ghi-gio_1,viewsari:annotation_24839
viewsari:cooccurrence_cap-gio_1,viewsari:cooccurrence,"Co-occurrence of Capanna, Puccio and Giotto, Vol. 1, Para. 118",viewsari:capanna-puccio,viewsari:giotto,viewsari:cooccurrence_extraction_cap-gio_1,viewsari:annotation_24840
viewsari:cooccurrence_agn-pis_1,viewsari:cooccurrence,"Co-occurrence of Agnolo (of Siena) and Pisano, Giovanni, Vol. 1, Para. 129",viewsari:agnolo-of-siena,viewsari:pisano-giovanni,viewsari:cooccurrence_extraction_agn-pis_1,viewsari:annotation_24841
viewsari:cooccurrence_agn-ago_1,viewsari:cooccurrence,"Co-occurrence of Agnolo (of Siena) and Agostino (of Siena), Vol. 1, Para. 129",viewsari:agnolo-of-siena,viewsari:agostino-of-siena,viewsari:cooccurrence_extraction_agn-ago_1,viewsari:annotation_24842
viewsari:cooccurrence_ago-pis_1,viewsari:cooccurrence,"Co-occurrence of Agostino (of Siena) and Pisano, Giovanni, Vol. 1, Para. 130",viewsari:agostino-of-siena,viewsari:pisano-giovanni,viewsari:cooccurrence_extraction_ago-pis_1,viewsari:annotation_24843
viewsari:cooccurrence_ago-gio_1,viewsari:cooccurrence,"Co-occurrence of Agostino (of Siena) and Giotto, Vol. 1, Para. 131",viewsari:agostino-of-siena,viewsari:giotto,viewsari:cooccurrence_extraction_ago-gio_1,viewsari:annotation_24844
