instance_id,rdf:type,oa:hasTarget,oa:hasBodyValue,prov:wasGeneratedBy
viewsari:annotation_1,"oa:Annotation, prov:Entity",viewsari:textchunk_1,"Giovanni, surnamed Cimabue, of the family, noble in those times, of Cimabue",viewsari:named_entity_recognition_run_1
viewsari:annotation_2,"oa:Annotation, prov:Entity",viewsari:textchunk_2,He,viewsari:named_entity_recognition_run_1
viewsari:annotation_3,"oa:Annotation, prov:Entity",viewsari:textchunk_3,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_4,"oa:Annotation, prov:Entity",viewsari:textchunk_4,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_5,"oa:Annotation, prov:Entity",viewsari:textchunk_5,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_6,"oa:Annotation, prov:Entity",viewsari:textchunk_6,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_7,"oa:Annotation, prov:Entity",viewsari:textchunk_7,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_8,"oa:Annotation, prov:Entity",viewsari:textchunk_8,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_9,"oa:Annotation, prov:Entity",viewsari:textchunk_9,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_10,"oa:Annotation, prov:Entity",viewsari:textchunk_10,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_11,"oa:Annotation, prov:Entity",viewsari:textchunk_11,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_12,"oa:Annotation, prov:Entity",viewsari:textchunk_12,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_13,"oa:Annotation, prov:Entity",viewsari:textchunk_13,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_14,"oa:Annotation, prov:Entity",viewsari:textchunk_14,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_15,"oa:Annotation, prov:Entity",viewsari:textchunk_15,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_16,"oa:Annotation, prov:Entity",viewsari:textchunk_16,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_17,"oa:Annotation, prov:Entity",viewsari:textchunk_17,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_18,"oa:Annotation, prov:Entity",viewsari:textchunk_18,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_19,"oa:Annotation, prov:Entity",viewsari:textchunk_19,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_20,"oa:Annotation, prov:Entity",viewsari:textchunk_20,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_21,"oa:Annotation, prov:Entity",viewsari:textchunk_21,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_22,"oa:Annotation, prov:Entity",viewsari:textchunk_22,Giovanni,viewsari:named_entity_recognition_run_1
viewsari:annotation_23,"oa:Annotation, prov:Entity",viewsari:textchunk_23,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_24,"oa:Annotation, prov:Entity",viewsari:textchunk_24,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_25,"oa:Annotation, prov:Entity",viewsari:textchunk_25,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_26,"oa:Annotation, prov:Entity",viewsari:textchunk_26,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_27,"oa:Annotation, prov:Entity",viewsari:textchunk_27,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_28,"oa:Annotation, prov:Entity",viewsari:textchunk_28,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_29,"oa:Annotation, prov:Entity",viewsari:textchunk_29,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_30,"oa:Annotation, prov:Entity",viewsari:textchunk_30,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_31,"oa:Annotation, prov:Entity",viewsari:textchunk_31,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_32,"oa:Annotation, prov:Entity",viewsari:textchunk_32,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_33,"oa:Annotation, prov:Entity",viewsari:textchunk_33,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_34,"oa:Annotation, prov:Entity",viewsari:textchunk_34,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_35,"oa:Annotation, prov:Entity",viewsari:textchunk_35,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_36,"oa:Annotation, prov:Entity",viewsari:textchunk_36,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_37,"oa:Annotation, prov:Entity",viewsari:textchunk_37,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_38,"oa:Annotation, prov:Entity",viewsari:textchunk_38,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_39,"oa:Annotation, prov:Entity",viewsari:textchunk_39,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_40,"oa:Annotation, prov:Entity",viewsari:textchunk_40,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_41,"oa:Annotation, prov:Entity",viewsari:textchunk_41,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_42,"oa:Annotation, prov:Entity",viewsari:textchunk_42,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_43,"oa:Annotation, prov:Entity",viewsari:textchunk_43,He,viewsari:named_entity_recognition_run_1
viewsari:annotation_44,"oa:Annotation, prov:Entity",viewsari:textchunk_44,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_45,"oa:Annotation, prov:Entity",viewsari:textchunk_45,his master's,viewsari:named_entity_recognition_run_1
viewsari:annotation_46,"oa:Annotation, prov:Entity",viewsari:textchunk_46,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_47,"oa:Annotation, prov:Entity",viewsari:textchunk_47,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_48,"oa:Annotation, prov:Entity",viewsari:textchunk_48,"Giotto, who was afterwards an excellent painter",viewsari:named_entity_recognition_run_1
viewsari:annotation_49,"oa:Annotation, prov:Entity",viewsari:textchunk_49,Giotto,viewsari:named_entity_recognition_run_1
viewsari:annotation_50,"oa:Annotation, prov:Entity",viewsari:textchunk_50,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_51,"oa:Annotation, prov:Entity",viewsari:textchunk_51,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_52,"oa:Annotation, prov:Entity",viewsari:textchunk_52,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_53,"oa:Annotation, prov:Entity",viewsari:textchunk_53,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_54,"oa:Annotation, prov:Entity",viewsari:textchunk_54,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_55,"oa:Annotation, prov:Entity",viewsari:textchunk_55,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_56,"oa:Annotation, prov:Entity",viewsari:textchunk_56,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_57,"oa:Annotation, prov:Entity",viewsari:textchunk_57,he himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_58,"oa:Annotation, prov:Entity",viewsari:textchunk_58,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_59,"oa:Annotation, prov:Entity",viewsari:textchunk_59,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_60,"oa:Annotation, prov:Entity",viewsari:textchunk_60,Giotto,viewsari:named_entity_recognition_run_1
viewsari:annotation_61,"oa:Annotation, prov:Entity",viewsari:textchunk_61,Giotto,viewsari:named_entity_recognition_run_1
viewsari:annotation_62,"oa:Annotation, prov:Entity",viewsari:textchunk_62,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_63,"oa:Annotation, prov:Entity",viewsari:textchunk_63,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_64,"oa:Annotation, prov:Entity",viewsari:textchunk_64,Giotto,viewsari:named_entity_recognition_run_1
viewsari:annotation_65,"oa:Annotation, prov:Entity",viewsari:textchunk_65,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_66,"oa:Annotation, prov:Entity",viewsari:textchunk_66,"Giotto, his pupil",viewsari:named_entity_recognition_run_1
viewsari:annotation_67,"oa:Annotation, prov:Entity",viewsari:textchunk_67,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_68,"oa:Annotation, prov:Entity",viewsari:textchunk_68,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_69,"oa:Annotation, prov:Entity",viewsari:textchunk_69,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_70,"oa:Annotation, prov:Entity",viewsari:textchunk_70,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_71,"oa:Annotation, prov:Entity",viewsari:textchunk_71,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_72,"oa:Annotation, prov:Entity",viewsari:textchunk_72,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_73,"oa:Annotation, prov:Entity",viewsari:textchunk_73,Cimabue,viewsari:named_entity_recognition_run_1
viewsari:annotation_74,"oa:Annotation, prov:Entity",viewsari:textchunk_74,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_75,"oa:Annotation, prov:Entity",viewsari:textchunk_75,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_76,"oa:Annotation, prov:Entity",viewsari:textchunk_76,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_77,"oa:Annotation, prov:Entity",viewsari:textchunk_77,Arnolfo.—The,viewsari:named_entity_recognition_run_1
viewsari:annotation_78,"oa:Annotation, prov:Entity",viewsari:textchunk_78,Arnolfo.—The said Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_79,"oa:Annotation, prov:Entity",viewsari:textchunk_79,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_80,"oa:Annotation, prov:Entity",viewsari:textchunk_80,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_81,"oa:Annotation, prov:Entity",viewsari:textchunk_81,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_82,"oa:Annotation, prov:Entity",viewsari:textchunk_82,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_83,"oa:Annotation, prov:Entity",viewsari:textchunk_83,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_84,"oa:Annotation, prov:Entity",viewsari:textchunk_84,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_85,"oa:Annotation, prov:Entity",viewsari:textchunk_85,Lapo,viewsari:named_entity_recognition_run_1
viewsari:annotation_86,"oa:Annotation, prov:Entity",viewsari:textchunk_86,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_87,"oa:Annotation, prov:Entity",viewsari:textchunk_87,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_88,"oa:Annotation, prov:Entity",viewsari:textchunk_88,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_89,"oa:Annotation, prov:Entity",viewsari:textchunk_89,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_90,"oa:Annotation, prov:Entity",viewsari:textchunk_90,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_91,"oa:Annotation, prov:Entity",viewsari:textchunk_91,He,viewsari:named_entity_recognition_run_1
viewsari:annotation_92,"oa:Annotation, prov:Entity",viewsari:textchunk_92,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_93,"oa:Annotation, prov:Entity",viewsari:textchunk_93,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_94,"oa:Annotation, prov:Entity",viewsari:textchunk_94,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_95,"oa:Annotation, prov:Entity",viewsari:textchunk_95,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_96,"oa:Annotation, prov:Entity",viewsari:textchunk_96,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_97,"oa:Annotation, prov:Entity",viewsari:textchunk_97,Buono,viewsari:named_entity_recognition_run_1
viewsari:annotation_98,"oa:Annotation, prov:Entity",viewsari:textchunk_98,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_99,"oa:Annotation, prov:Entity",viewsari:textchunk_99,"Marchionne Aretino, both architect and sculptor",viewsari:named_entity_recognition_run_1
viewsari:annotation_100,"oa:Annotation, prov:Entity",viewsari:textchunk_100,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_101,"oa:Annotation, prov:Entity",viewsari:textchunk_101,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_102,"oa:Annotation, prov:Entity",viewsari:textchunk_102,The same Marchionne,viewsari:named_entity_recognition_run_1
viewsari:annotation_103,"oa:Annotation, prov:Entity",viewsari:textchunk_103,He,viewsari:named_entity_recognition_run_1
viewsari:annotation_104,"oa:Annotation, prov:Entity",viewsari:textchunk_104,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_105,"oa:Annotation, prov:Entity",viewsari:textchunk_105,The same man,viewsari:named_entity_recognition_run_1
viewsari:annotation_106,"oa:Annotation, prov:Entity",viewsari:textchunk_106,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_107,"oa:Annotation, prov:Entity",viewsari:textchunk_107,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_108,"oa:Annotation, prov:Entity",viewsari:textchunk_108,Marchionne,viewsari:named_entity_recognition_run_1
viewsari:annotation_109,"oa:Annotation, prov:Entity",viewsari:textchunk_109,Marchionne,viewsari:named_entity_recognition_run_1
viewsari:annotation_110,"oa:Annotation, prov:Entity",viewsari:textchunk_110,he,viewsari:named_entity_recognition_run_1
