"instance_id","rdf:type","rdfs:label","prov:wasGeneratedBy"
"viewsari:abacco-antonio-l","viewsari:person","Abacco, Antonio L'","viewsari:coreference_reconciliation_run_1"
"viewsari:agnolo-baccio-d-baccio-baglioni","viewsari:person","Agnolo, Baccio d' (Baccio Baglioni)","viewsari:coreference_reconciliation_run_1"
"viewsari:agnolo-giuliano-di-baccio-d","viewsari:person","Agnolo, Giuliano di Baccio d'","viewsari:coreference_reconciliation_run_1"
"viewsari:agnolo-nephew-of-montorsoli","viewsari:person","Agnolo (nephew of Montorsoli)","viewsari:coreference_reconciliation_run_1"
"viewsari:agnolo-of-siena","viewsari:person","Agnolo (of Siena)","viewsari:coreference_reconciliation_run_1"
"viewsari:agobbio-oderigi-d","viewsari:person","Agobbio, Oderigi d'","viewsari:coreference_reconciliation_run_1"
"viewsari:agostino-of-siena","viewsari:person","Agostino (of Siena)","viewsari:coreference_reconciliation_run_1"
"viewsari:albertinelli-mariotto","viewsari:person","Albertinelli, Mariotto","viewsari:coreference_reconciliation_run_1"
"viewsari:allori-alessandro-alessandro-del-bronzino","viewsari:person","Allori, Alessandro (Alessandro del Bronzino)","viewsari:coreference_reconciliation_run_1"
"viewsari:altissimo-cristofano-dell","viewsari:person","Altissimo, Cristofano dell'","viewsari:coreference_reconciliation_run_1"
"viewsari:amalteo-pomponio","viewsari:person","Amalteo, Pomponio","viewsari:coreference_reconciliation_run_1"
"viewsari:ammanati-bartolommeo","viewsari:person","Ammanati, Bartolommeo","viewsari:coreference_reconciliation_run_1"
"viewsari:angelico-fra-fra-giovanni-da-fiesole","viewsari:person","Angelico, Fra (Fra Giovanni da Fiesole)","viewsari:coreference_reconciliation_run_1"
"viewsari:angelo-battista-d-battista-d-agnolo-or-del-moro","viewsari:person","Angelo, Battista d' (Battista d' Agnolo, or del Moro)","viewsari:coreference_reconciliation_run_1"
"viewsari:angelo-lorentino-d","viewsari:person","Angelo, Lorentino d'","viewsari:coreference_reconciliation_run_1"
"viewsari:anguisciuola-sofonisba","viewsari:person","Anguisciuola, Sofonisba","viewsari:coreference_reconciliation_run_1"
"viewsari:antwerp-willem-van","viewsari:person","Antwerp, Willem van","viewsari:coreference_reconciliation_run_1"
"viewsari:apollonio","viewsari:person","Apollonio","viewsari:coreference_reconciliation_run_1"
"viewsari:aretino-leone-leone-lioni","viewsari:person","Aretino, Leone (Leone Lioni)","viewsari:coreference_reconciliation_run_1"
