"instance_id","rdf:type","oa:start","oa:end","dct:isPartOf"
"viewsari:position-selector_1","doco:TextPositionSelector","397","472","viewsari:textchunk_1"
"viewsari:position-selector_2","doco:TextPositionSelector","474","476","viewsari:textchunk_2"
"viewsari:position-selector_3","doco:TextPositionSelector","512","515","viewsari:textchunk_3"
"viewsari:position-selector_4","doco:TextPositionSelector","607","609","viewsari:textchunk_4"
"viewsari:position-selector_5","doco:TextPositionSelector","625","632","viewsari:textchunk_5"
"viewsari:position-selector_6","doco:TextPositionSelector","678","681","viewsari:textchunk_6"
"viewsari:position-selector_7","doco:TextPositionSelector","758","765","viewsari:textchunk_7"
"viewsari:position-selector_8","doco:TextPositionSelector","792","795","viewsari:textchunk_8"
"viewsari:position-selector_9","doco:TextPositionSelector","1497","1504","viewsari:textchunk_9"
"viewsari:position-selector_10","doco:TextPositionSelector","1527","1530","viewsari:textchunk_10"
"viewsari:position-selector_11","doco:TextPositionSelector","1569","1572","viewsari:textchunk_11"
"viewsari:position-selector_12","doco:TextPositionSelector","1703","1706","viewsari:textchunk_12"
"viewsari:position-selector_13","doco:TextPositionSelector","0","7","viewsari:textchunk_13"
"viewsari:position-selector_14","doco:TextPositionSelector","79","82","viewsari:textchunk_14"
"viewsari:position-selector_15","doco:TextPositionSelector","249","251","viewsari:textchunk_15"
"viewsari:position-selector_16","doco:TextPositionSelector","287","290","viewsari:textchunk_16"
"viewsari:position-selector_17","doco:TextPositionSelector","686","693","viewsari:textchunk_17"
"viewsari:position-selector_18","doco:TextPositionSelector","1087","1089","viewsari:textchunk_18"
"viewsari:position-selector_19","doco:TextPositionSelector","1230","1232","viewsari:textchunk_19"
"viewsari:position-selector_20","doco:TextPositionSelector","44","51","viewsari:textchunk_20"
"viewsari:position-selector_21","doco:TextPositionSelector","82","84","viewsari:textchunk_21"
"viewsari:position-selector_22","doco:TextPositionSelector","573","581","viewsari:textchunk_22"
"viewsari:position-selector_23","doco:TextPositionSelector","586","589","viewsari:textchunk_23"
"viewsari:position-selector_24","doco:TextPositionSelector","756","759","viewsari:textchunk_24"
"viewsari:position-selector_25","doco:TextPositionSelector","765","767","viewsari:textchunk_25"
"viewsari:position-selector_26","doco:TextPositionSelector","36","43","viewsari:textchunk_26"
"viewsari:position-selector_27","doco:TextPositionSelector","203","206","viewsari:textchunk_27"
"viewsari:position-selector_28","doco:TextPositionSelector","291","293","viewsari:textchunk_28"
"viewsari:position-selector_29","doco:TextPositionSelector","324","331","viewsari:textchunk_29"
"viewsari:position-selector_30","doco:TextPositionSelector","446","448","viewsari:textchunk_30"
"viewsari:position-selector_31","doco:TextPositionSelector","739","741","viewsari:textchunk_31"
"viewsari:position-selector_32","doco:TextPositionSelector","770","772","viewsari:textchunk_32"
"viewsari:position-selector_33","doco:TextPositionSelector","1044","1051","viewsari:textchunk_33"
"viewsari:position-selector_34","doco:TextPositionSelector","1110","1112","viewsari:textchunk_34"
"viewsari:position-selector_35","doco:TextPositionSelector","1231","1238","viewsari:textchunk_35"
"viewsari:position-selector_36","doco:TextPositionSelector","31","33","viewsari:textchunk_36"
"viewsari:position-selector_37","doco:TextPositionSelector","213","220","viewsari:textchunk_37"
"viewsari:position-selector_38","doco:TextPositionSelector","789","796","viewsari:textchunk_38"
"viewsari:position-selector_39","doco:TextPositionSelector","896","899","viewsari:textchunk_39"
"viewsari:position-selector_40","doco:TextPositionSelector","38","45","viewsari:textchunk_40"
"viewsari:position-selector_41","doco:TextPositionSelector","105","107","viewsari:textchunk_41"
"viewsari:position-selector_42","doco:TextPositionSelector","297","299","viewsari:textchunk_42"
"viewsari:position-selector_43","doco:TextPositionSelector","389","391","viewsari:textchunk_43"
"viewsari:position-selector_44","doco:TextPositionSelector","505","512","viewsari:textchunk_44"
"viewsari:position-selector_45","doco:TextPositionSelector","517","529","viewsari:textchunk_45"
"viewsari:position-selector_46","doco:TextPositionSelector","565","572","viewsari:textchunk_46"
"viewsari:position-selector_47","doco:TextPositionSelector","634","637","viewsari:textchunk_47"
"viewsari:position-selector_48","doco:TextPositionSelector","430","477","viewsari:textchunk_48"
"viewsari:position-selector_49","doco:TextPositionSelector","485","491","viewsari:textchunk_49"
"viewsari:position-selector_50","doco:TextPositionSelector","517","520","viewsari:textchunk_50"
"viewsari:position-selector_51","doco:TextPositionSelector","55","62","viewsari:textchunk_51"
"viewsari:position-selector_52","doco:TextPositionSelector","118","121","viewsari:textchunk_52"
"viewsari:position-selector_53","doco:TextPositionSelector","132","135","viewsari:textchunk_53"
"viewsari:position-selector_54","doco:TextPositionSelector","214","221","viewsari:textchunk_54"
"viewsari:position-selector_55","doco:TextPositionSelector","247","254","viewsari:textchunk_55"
"viewsari:position-selector_56","doco:TextPositionSelector","449","452","viewsari:textchunk_56"
"viewsari:position-selector_57","doco:TextPositionSelector","465","475","viewsari:textchunk_57"
"viewsari:position-selector_58","doco:TextPositionSelector","468","475","viewsari:textchunk_58"
"viewsari:position-selector_59","doco:TextPositionSelector","678","680","viewsari:textchunk_59"
"viewsari:position-selector_60","doco:TextPositionSelector","83","89","viewsari:textchunk_60"
"viewsari:position-selector_61","doco:TextPositionSelector","734","740","viewsari:textchunk_61"
"viewsari:position-selector_62","doco:TextPositionSelector","822","825","viewsari:textchunk_62"
"viewsari:position-selector_63","doco:TextPositionSelector","851","854","viewsari:textchunk_63"
"viewsari:position-selector_64","doco:TextPositionSelector","26","32","viewsari:textchunk_64"
"viewsari:position-selector_65","doco:TextPositionSelector","50","53","viewsari:textchunk_65"
"viewsari:position-selector_66","doco:TextPositionSelector","248","265","viewsari:textchunk_66"
"viewsari:position-selector_67","doco:TextPositionSelector","363","366","viewsari:textchunk_67"
"viewsari:position-selector_68","doco:TextPositionSelector","17","24","viewsari:textchunk_68"
"viewsari:position-selector_69","doco:TextPositionSelector","161","168","viewsari:textchunk_69"
"viewsari:position-selector_70","doco:TextPositionSelector","256","259","viewsari:textchunk_70"
"viewsari:position-selector_71","doco:TextPositionSelector","16","23","viewsari:textchunk_71"
"viewsari:position-selector_72","doco:TextPositionSelector","364","367","viewsari:textchunk_72"
"viewsari:position-selector_73","doco:TextPositionSelector","666","673","viewsari:textchunk_73"
"viewsari:position-selector_74","doco:TextPositionSelector","803","806","viewsari:textchunk_74"
"viewsari:position-selector_75","doco:TextPositionSelector","871","874","viewsari:textchunk_75"
"viewsari:position-selector_76","doco:TextPositionSelector","1024","1027","viewsari:textchunk_76"
"viewsari:position-selector_77","doco:TextPositionSelector","34","46","viewsari:textchunk_77"
"viewsari:position-selector_78","doco:TextPositionSelector","34","59","viewsari:textchunk_78"
"viewsari:position-selector_79","doco:TextPositionSelector","164","166","viewsari:textchunk_79"
"viewsari:position-selector_80","doco:TextPositionSelector","252","255","viewsari:textchunk_80"
"viewsari:position-selector_81","doco:TextPositionSelector","499","506","viewsari:textchunk_81"
"viewsari:position-selector_82","doco:TextPositionSelector","522","524","viewsari:textchunk_82"
"viewsari:position-selector_83","doco:TextPositionSelector","291","298","viewsari:textchunk_83"
"viewsari:position-selector_84","doco:TextPositionSelector","335","338","viewsari:textchunk_84"
"viewsari:position-selector_85","doco:TextPositionSelector","39","43","viewsari:textchunk_85"
"viewsari:position-selector_86","doco:TextPositionSelector","59","62","viewsari:textchunk_86"
"viewsari:position-selector_87","doco:TextPositionSelector","1048","1055","viewsari:textchunk_87"
"viewsari:position-selector_88","doco:TextPositionSelector","1067","1070","viewsari:textchunk_88"
"viewsari:position-selector_89","doco:TextPositionSelector","1077","1079","viewsari:textchunk_89"
"viewsari:position-selector_90","doco:TextPositionSelector","1103","1106","viewsari:textchunk_90"
"viewsari:position-selector_91","doco:TextPositionSelector","1113","1115","viewsari:textchunk_91"
"viewsari:position-selector_92","doco:TextPositionSelector","1306","1308","viewsari:textchunk_92"
"viewsari:position-selector_93","doco:TextPositionSelector","1337","1339","viewsari:textchunk_93"
"viewsari:position-selector_94","doco:TextPositionSelector","1517","1519","viewsari:textchunk_94"
"viewsari:position-selector_95","doco:TextPositionSelector","1758","1761","viewsari:textchunk_95"
"viewsari:position-selector_96","doco:TextPositionSelector","1823","1826","viewsari:textchunk_96"
"viewsari:position-selector_97","doco:TextPositionSelector","2289","2294","viewsari:textchunk_97"
"viewsari:position-selector_98","doco:TextPositionSelector","2353","2355","viewsari:textchunk_98"
"viewsari:position-selector_99","doco:TextPositionSelector","93","140","viewsari:textchunk_99"
"viewsari:position-selector_100","doco:TextPositionSelector","174","177","viewsari:textchunk_100"
"viewsari:position-selector_101","doco:TextPositionSelector","203","205","viewsari:textchunk_101"
"viewsari:position-selector_102","doco:TextPositionSelector","226","245","viewsari:textchunk_102"
"viewsari:position-selector_103","doco:TextPositionSelector","810","812","viewsari:textchunk_103"
"viewsari:position-selector_104","doco:TextPositionSelector","1203","1205","viewsari:textchunk_104"
"viewsari:position-selector_105","doco:TextPositionSelector","1334","1346","viewsari:textchunk_105"
"viewsari:position-selector_106","doco:TextPositionSelector","1527","1529","viewsari:textchunk_106"
"viewsari:position-selector_107","doco:TextPositionSelector","1564","1567","viewsari:textchunk_107"
"viewsari:position-selector_108","doco:TextPositionSelector","1677","1687","viewsari:textchunk_108"
"viewsari:position-selector_109","doco:TextPositionSelector","65","75","viewsari:textchunk_109"
