instance_id,rdf:type,oa:hasSource,oa:hasSelector
viewsari:textchunk_1,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_1
viewsari:textchunk_2,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_2
viewsari:textchunk_3,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_3
viewsari:textchunk_4,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_4
viewsari:textchunk_5,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_5
viewsari:textchunk_6,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_6
viewsari:textchunk_7,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_7
viewsari:textchunk_8,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_8
viewsari:textchunk_9,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_9
viewsari:textchunk_10,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_10
viewsari:textchunk_11,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_11
viewsari:textchunk_12,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-1,viewsari:position-selector_12
viewsari:textchunk_13,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-4,viewsari:position-selector_13
viewsari:textchunk_14,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-4,viewsari:position-selector_14
viewsari:textchunk_15,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-4,viewsari:position-selector_15
viewsari:textchunk_16,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-4,viewsari:position-selector_16
viewsari:textchunk_17,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-4,viewsari:position-selector_17
viewsari:textchunk_18,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-4,viewsari:position-selector_18
viewsari:textchunk_19,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-4,viewsari:position-selector_19
viewsari:textchunk_20,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-5,viewsari:position-selector_20
viewsari:textchunk_21,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-5,viewsari:position-selector_21
viewsari:textchunk_22,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-5,viewsari:position-selector_22
viewsari:textchunk_23,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-5,viewsari:position-selector_23
viewsari:textchunk_24,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-5,viewsari:position-selector_24
viewsari:textchunk_25,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-5,viewsari:position-selector_25
viewsari:textchunk_26,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-6,viewsari:position-selector_26
viewsari:textchunk_27,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-6,viewsari:position-selector_27
viewsari:textchunk_28,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-6,viewsari:position-selector_28
viewsari:textchunk_29,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-6,viewsari:position-selector_29
viewsari:textchunk_30,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-6,viewsari:position-selector_30
viewsari:textchunk_31,doco:TextChunk,viewsari:the_lives_1568_volume-1_paragraph-6,viewsari:position-selector_31
