"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","start_page","vol","level"
"viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:biography","fabio:Expression","Life of Giovanni Cimabue","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","1","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_1","1","1","manifestation"
"viewsari:the_lives_1568_volume-1_arnolfo-di-lapo-bio","viewsari:biography","fabio:Expression","Life of Arnolfo di Lapo","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_arnolfo-di-lapo-bio","","11","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_arnolfo-di-lapo-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Arnolfo di Lapo (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_11","11","1","manifestation"
"viewsari:the_lives_1568_volume-1_niccola-giovanni-pisa-bio","viewsari:biography","fabio:Expression","Life of Niccola and Giovanni of Pisa","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_niccola-giovanni-pisa-bio","","27","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_niccola-giovanni-pisa-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Niccola and Giovanni of Pisa (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_27","27","1","manifestation"
"viewsari:the_lives_1568_volume-1_andrea-tafi-bio","viewsari:biography","fabio:Expression","Life of Andrea Tafi","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_andrea-tafi-bio","","45","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_andrea-tafi-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Andrea Tafi (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_45","45","1","manifestation"
"viewsari:the_lives_1568_volume-1_gaddo-gaddi-bio","viewsari:biography","fabio:Expression","Life of Gaddo Gaddi","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_gaddo-gaddi-bio","","53","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_gaddo-gaddi-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Gaddo Gaddi (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_53","53","1","manifestation"
"viewsari:the_lives_1568_volume-1_margaritone-bio","viewsari:biography","fabio:Expression","Life of Margaritone","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_margaritone-bio","","61","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_margaritone-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Margaritone (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_61","61","1","manifestation"
"viewsari:the_lives_1568_volume-1_giotto-bio","viewsari:biography","fabio:Expression","Life of Giotto","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_giotto-bio","","69","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_giotto-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Giotto (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_69","69","1","manifestation"
"viewsari:the_lives_1568_volume-1_agostino-agnolo-siena-bio","viewsari:biography","fabio:Expression","Life of Agostino and Agnolo of Siena","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_agostino-agnolo-siena-bio","","95","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_agostino-agnolo-siena-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Agostino and Agnolo of Siena (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_95","95","1","manifestation"
"viewsari:the_lives_1568_volume-1_stefano-ugolino-sanese-bio","viewsari:biography","fabio:Expression","Life of Stefano and Ugolino Sanese","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_stefano-ugolino-sanese-bio","","107","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_stefano-ugolino-sanese-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Stefano and Ugolino Sanese (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_107","107","1","manifestation"
"viewsari:the_lives_1568_volume-1_pietro-laurati-bio","viewsari:biography","fabio:Expression","Life of Pietro Laurati","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_pietro-laurati-bio","","115","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_pietro-laurati-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Pietro Laurati (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_115","115","1","manifestation"
"viewsari:the_lives_1568_volume-1_andrea-pisano-bio","viewsari:biography","fabio:Expression","Life of Andrea Pisano","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_andrea-pisano-bio","","121","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_andrea-pisano-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Andrea Pisano (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_121","121","1","manifestation"
"viewsari:the_lives_1568_volume-1_buffalmacco-bio","viewsari:biography","fabio:Expression","Life of Buonamico Buffalmacco","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_buffalmacco-bio","","133","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_buffalmacco-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Buonamico Buffalmacco (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_133","133","1","manifestation"
"viewsari:the_lives_1568_volume-1_ambrogio-lorenzetti-bio","viewsari:biography","fabio:Expression","Life of Ambrogio Lorenzetti","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_ambrogio-lorenzetti-bio","","153","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_ambrogio-lorenzetti-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Ambrogio Lorenzetti (Volume 1)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1","","https://www.gutenberg.org/files/25326/25326-h/25326-h.htm#Page_153","153","1","manifestation"
"viewsari:the_lives_1568_volume-1_pietro-cavallini-bio","viewsari:biography","fabio:Expression","Life of Pietro Cavallini","viewsari:the_lives_1568_volume-1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_pietro-cavallini-bio","","159","1","expression"
