"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","page_number","biography_slug","vol","level"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_1","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 1","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_1","","1","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_1","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 1","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_1","1","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_2","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 2","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_2","","2","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_2","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 2","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_2","2","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_3","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 3","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_3","","3","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_3","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 3","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_3","3","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_4","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 4","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_4","","4","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_4","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 4","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_4","4","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_5","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 5","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_5","","5","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_5","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_5","5","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_6","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 6","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_6","","6","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_6","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_6","6","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_7","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 7","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_7","","7","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_7","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 7","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_7","7","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_8","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 8","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_8","","8","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_8","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 8","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_8","8","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_9","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 9","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_9","","9","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_9","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 9","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_9","9","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_cimabue-bio_page_10","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Giovanni Cimabue, Page 10","viewsari:the_lives_1568_volume-1_cimabue-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_10","","10","cimabue","1","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio_page_10","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Cimabue, Page 10","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_cimabue-bio","","https://www.gutenberg.org/files/33203/33203-h/33203-h.htm#Page_10","10","cimabue","1","manifestation"
"viewsari:the_lives_1568_volume-1_arnolfo-di-lapo-bio_page_11","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 1, Life of Arnolfo di Lapo, Page 11","viewsari:the_lives_1568_volume-1_arnolfo-di-lapo-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-1_arnolfo-di-lapo-bio_page_11","","11","arnolfo-di-lapo","1","expression"
