page,index_name,position,reference,paragraph
3,Berna,"(411, 538)","poor young Berna of Siena, who, although he died young, nevertheless left so many works that he appears to have lived very long",1.0
3,Berna,"(452, 454)",he,1.0
3,Berna,"(504, 506)",he,1.0
3,Berna,"(555, 557)",he,1.0
3,Berna,"(640, 642)",he,1.0
3,Berna,"(683, 685)",he,1.0
3,Berna,"(810, 813)",his,1.0
3,Berna,"(1290, 1295)",Berna,1.0
3,Berna,"(1403, 1405)",he,1.0
4,Berna,"(276, 281)",Berna,2.0
4,Berna,"(714, 719)",Berna,2.0
4,Berna,"(1416, 1421)",Berna,2.0
4,Berna,"(1988, 1990)",he,2.0
4,Berna,"(2198, 2200)",he,2.0
4,Berna,"(2305, 2307)",he,2.0
4,Berna,"(2395, 2402)",himself,2.0
4,Berna,"(2418, 2421)",his,2.0
5,Berna,"(31, 34)",his,3.0
5,Berna,"(48, 50)",he,3.0
5,Berna,"(104, 106)",he,3.0
5,Berna,"(169, 171)",he,3.0
5,Berna,"(398, 400)",he,3.0
5,Berna,"(460, 462)",he,3.0
5,Berna,"(551, 554)",his,3.0
5,Berna,"(582, 584)",he,3.0
5,Berna,"(593, 600)",himself,3.0
5,Berna,"(642, 649)",himself,3.0
5,Berna,"(729, 764)","himself, who went to a better place",3.0
5,Berna,"(766, 768)",he,3.0
5,Berna,"(835, 838)",him,3.0
5,Berna,"(877, 880)",his,3.0
5,Berna,"(936, 939)",him,3.0
5,Berna,"(993, 996)",him,3.0
5,Berna,"(1054, 1057)",his,3.0
5,Berna,"(1240, 1245)",Berna,3.0
5,Berna,"(1275, 1318)",him who had honoured them with his pictures,3.0
5,Berna,"(1306, 1309)",his,3.0
5,Berna,"(40, 45)",Berna,4.0
5,Berna,"(278, 292)",Berna of Siena,4.0
5,Berna,"(351, 356)",Berna,4.0
5,Berna,"(481, 484)",his,4.0
5,Berna,"(553, 555)",he,4.0
5,Berna,"(604, 607)",his,4.0
5,Berna,"(642, 645)",His,4.0
10,Duccio,"(23, 29)",Duccio,7.0
10,Duccio,"(182, 185)",his,7.0
11,Moccio,"(27, 29)",he,7.0
11,Moccio,"(50, 52)",he,7.0
11,Moccio,"(109, 115)",Moccio,7.0
11,Moccio,"(220, 222)",he,7.0
11,Moccio,"(231, 238)",himself,7.0
11,Moccio,"(280, 292)",The same man,7.0
11,Moccio,"(433, 435)",he,7.0
11,Moccio,"(627, 629)",he,7.0
11,Moccio,"(746, 748)",he,7.0
16,"Viniziano, Antonio","(49, 52)",his,8.0
16,"Viniziano, Antonio","(94, 101)",himself,8.0
16,"Viniziano, Antonio","(123, 125)",he,8.0
16,"Viniziano, Antonio","(312, 314)",he,8.0
16,"Viniziano, Antonio","(394, 396)",he,8.0
16,"Viniziano, Antonio","(988, 995)",Antonio,8.0
16,"Viniziano, Antonio","(1261, 1263)",he,8.0
16,"Viniziano, Antonio","(1485, 1487)",he,8.0
16,"Viniziano, Antonio","(1697, 1699)",he,8.0
16,"Viniziano, Antonio","(0, 7)",Antonio,9.0
16,"Viniziano, Antonio","(289, 296)",Antonio,9.0
17,"Viniziano, Antonio","(1091, 1098)",Antonio,9.0
17,"Viniziano, Antonio","(1609, 1611)",he,9.0
18,"Viniziano, Antonio","(760, 762)",he,9.0
18,"Viniziano, Antonio","(849, 851)",he,9.0
18,"Viniziano, Antonio","(1471, 1478)",Antonio,9.0
18,"Viniziano, Antonio","(1696, 1703)",Antonio,9.0
18,"Viniziano, Antonio","(1971, 1973)",he,9.0
19,"Viniziano, Antonio","(76, 79)",him,10.0
19,"Viniziano, Antonio","(126, 129)",him,10.0
19,"Viniziano, Antonio","(155, 162)",Antonio,10.0
19,"Viniziano, Antonio","(230, 232)",he,10.0
19,"Viniziano, Antonio","(405, 407)",he,10.0
19,"Viniziano, Antonio","(796, 811)",the same master,10.0
19,"Viniziano, Antonio","(937, 939)",he,10.0
19,"Viniziano, Antonio","(1108, 1110)",he,10.0
19,"Viniziano, Antonio","(1139, 1146)",himself,10.0
19,"Viniziano, Antonio","(1277, 1279)",he,10.0
19,"Viniziano, Antonio","(1415, 1417)",he,10.0
19,"Viniziano, Antonio","(1441, 1444)",his,10.0
19,"Viniziano, Antonio","(1589, 1591)",he,10.0
19,"Viniziano, Antonio","(1721, 1724)",him,10.0
19,"Viniziano, Antonio","(1747, 1749)",he,10.0
19,"Viniziano, Antonio","(1789, 1796)",himself,10.0
20,"Viniziano, Antonio","(7, 14)",Antonio,10.0
20,"Viniziano, Antonio","(100, 103)",him,10.0
20,"Viniziano, Antonio","(135, 137)",he,10.0
20,"Viniziano, Antonio","(217, 224)",Antonio,10.0
20,"Viniziano, Antonio","(277, 280)",him,10.0
20,"Viniziano, Antonio","(326, 329)",his,10.0
20,"Viniziano, Antonio","(344, 347)",him,10.0
20,"Viniziano, Antonio","(16, 33)",Antonio Viniziano,11.0
20,"Viniziano, Antonio","(38, 41)",his,11.0
23,Giotto,"(52, 58)",Giotto,12.0
23,Giotto,"(63, 66)",his,12.0
23,Giotto,"(402, 408)",Giotto,12.0
23,"Gaddi, Taddeo","(413, 419)",Taddeo,12.0
23,"Gaddi, Taddeo","(663, 675)",Taddeo Gaddi,12.0
23,"Gaddi, Taddeo","(683, 689)",Taddeo,12.0
23,"Gaddi, Taddeo","(941, 960)",Taddeo their master,12.0
23,"Casentino, Jacopo di","(735, 737)",he,12.0
23,"Casentino, Jacopo di","(807, 809)",he,12.0
23,"Casentino, Jacopo di","(843, 850)",himself,12.0
23,"Casentino, Jacopo di","(962, 964)",he,12.0
23,"Casentino, Jacopo di","(1239, 1245)",Jacopo,12.0
23,"Casentino, Jacopo di","(1265, 1267)",he,12.0
24,"Casentino, Jacopo di","(20, 26)",Jacopo,13.0
24,"Casentino, Jacopo di","(64, 66)",he,13.0
24,"Casentino, Jacopo di","(147, 149)",he,13.0
24,"Casentino, Jacopo di","(157, 164)",himself,13.0
24,"Casentino, Jacopo di","(375, 377)",he,13.0
24,"Casentino, Jacopo di","(628, 630)",he,13.0
24,"Casentino, Jacopo di","(762, 764)",he,13.0
24,"Casentino, Jacopo di","(879, 881)",he,13.0
24,"Casentino, Jacopo di","(1237, 1239)",he,13.0
25,"Casentino, Jacopo di","(1, 7)",Jacopo,14.0
25,"Casentino, Jacopo di","(511, 517)",Jacopo,14.0
25,"Casentino, Jacopo di","(54, 60)",Jacopo,15.0
25,"Casentino, Jacopo di","(80, 83)",his,15.0
25,"Casentino, Jacopo di","(352, 354)",he,15.0
25,"Casentino, Jacopo di","(435, 438)",his,15.0
25,"Casentino, Jacopo di","(475, 477)",he,15.0
25,"Aretino, Spinello","(488, 504)",Spinello Aretino,15.0
25,"Aretino, Spinello","(552, 555)",him,15.0
25,"Aretino, Spinello","(577, 585)",Spinello,15.0
25,"Daddi, Bernardo","(639, 642)",his,15.0
25,"Daddi, Bernardo","(725, 728)",his,15.0
25,"Daddi, Bernardo","(779, 781)",he,15.0
25,"Daddi, Bernardo","(803, 806)",his,15.0
25,"Daddi, Bernardo","(837, 840)",him,15.0
25,"Daddi, Bernardo","(908, 916)",Bernardo,15.0
25,"Daddi, Bernardo","(1210, 1212)",he,15.0
25,"Casentino, Jacopo di","(17, 23)",Jacopo,16.0
25,"Casentino, Jacopo di","(56, 59)",his,16.0
26,"Casentino, Jacopo di","(51, 57)",Jacopo,18.0
26,"Casentino, Jacopo di","(150, 153)",his,18.0
26,"Casentino, Jacopo di","(249, 252)",His,18.0
26,"Casentino, Jacopo di","(359, 362)",his,18.0
29,"Aretino, Spinello","(162, 249)","a son, to whom he gave the name of Spinello, so much inclined by nature to be a painter",19.0
29,"Aretino, Spinello","(300, 302)",he,19.0
29,"Aretino, Spinello","(453, 455)",he,19.0
29,"Aretino, Spinello","(519, 521)",he,19.0
29,"Aretino, Spinello","(546, 548)",he,19.0
29,"Aretino, Spinello","(598, 600)",he,19.0
29,"Aretino, Spinello","(655, 663)",Spinello,19.0
29,"Aretino, Spinello","(1148, 1156)",Spinello,19.0
29,"Aretino, Spinello","(1167, 1174)",himself,19.0
29,"Aretino, Spinello","(1661, 1669)",Spinello,19.0
29,"Casentino, Jacopo di","(427, 446)",Jacopo di Casentino,19.0
29,"Casentino, Jacopo di","(507, 510)",him,19.0
29,"Casentino, Jacopo di","(615, 653)","Jacopo himself, already an old painter",19.0
29,"Casentino, Jacopo di","(622, 629)",himself,19.0
30,"Aretino, Spinello","(159, 167)",Spinello,19.0
30,"Aretino, Spinello","(428, 436)",Spinello,19.0
30,"Aretino, Spinello","(1025, 1033)",Spinello,19.0
30,"Aretino, Spinello","(1433, 1441)",Spinello,19.0
30,"Aretino, Spinello","(1613, 1615)",he,19.0
30,"Aretino, Spinello","(1728, 1730)",he,19.0
30,"Aretino, Spinello","(1850, 1852)",he,19.0
31,"Aretino, Spinello","(43, 51)",Spinello,21.0
31,"Aretino, Spinello","(253, 255)",he,21.0
31,"Aretino, Spinello","(264, 266)",He,21.0
31,"Aretino, Spinello","(664, 666)",he,21.0
31,"Aretino, Spinello","(809, 811)",he,21.0
31,"Aretino, Spinello","(1000, 1002)",he,21.0
32,"Aretino, Spinello","(502, 510)",Spinello,21.0
32,"Aretino, Spinello","(558, 561)",his,21.0
32,"Aretino, Spinello","(766, 769)",his,21.0
32,"Aretino, Spinello","(780, 782)",he,21.0
32,"Aretino, Spinello","(1244, 1246)",he,21.0
32,"Aretino, Spinello","(1443, 1453)",Spinello's,21.0
32,"Aretino, Spinello","(89, 91)",he,22.0
32,"Aretino, Spinello","(252, 266)",Giorgio Vasari,22.0
32,"Aretino, Spinello","(543, 551)",Spinello,22.0
33,"Aretino, Spinello","(314, 322)",Spinello,23.0
33,"Aretino, Spinello","(875, 877)",He,23.0
33,"Aretino, Spinello","(1077, 1079)",he,23.0
33,"Aretino, Spinello","(1126, 1128)",he,23.0
33,"Aretino, Spinello","(1263, 1265)",he,23.0
33,"Aretino, Spinello","(1444, 1447)",his,23.0
33,"Aretino, Spinello","(1457, 1459)",he,23.0
33,"Aretino, Spinello","(1653, 1655)",he,23.0
34,"Aretino, Spinello","(103, 105)",he,24.0
34,"Aretino, Spinello","(1261, 1269)",Spinello,24.0
34,"Aretino, Spinello","(1281, 1284)",his,24.0
34,"Aretino, Spinello","(1396, 1398)",he,24.0
35,"Aretino, Spinello","(136, 144)",Spinello,26.0
35,"Aretino, Spinello","(429, 437)",Spinello,26.0
35,"Aretino, Spinello","(544, 546)",he,26.0
35,"Aretino, Spinello","(604, 606)",he,26.0
35,"Aretino, Spinello","(765, 767)",he,26.0
35,"Aretino, Spinello","(798, 801)",his,26.0
35,"Aretino, Spinello","(917, 919)",he,26.0
35,"Aretino, Spinello","(949, 956)",himself,26.0
35,"Aretino, Spinello","(1066, 1068)",he,26.0
35,Giotto,"(969, 975)",Giotto,26.0
35,Giotto,"(1009, 1012)",him,26.0
36,"Aretino, Spinello","(237, 249)",our Spinello,27.0
36,"Aretino, Spinello","(509, 580)","Spinello, by whom he had found himself very well served at another time",27.0
36,"Aretino, Spinello","(592, 595)",him,27.0
36,"Aretino, Spinello","(661, 669)",Spinello,27.0
36,"Aretino, Spinello","(868, 870)",he,27.0
36,"Aretino, Spinello","(20, 28)",Spinello,29.0
36,"Aretino, Spinello","(270, 272)",he,29.0
36,"Aretino, Spinello","(280, 287)",himself,29.0
36,"Aretino, Spinello","(293, 296)",his,29.0
36,"Aretino, Spinello","(308, 311)",his,29.0
36,"Aretino, Spinello","(369, 371)",he,29.0
36,"Aretino, Spinello","(513, 515)",he,29.0
37,"Aretino, Spinello","(0, 2)",He,30.0
37,"Aretino, Spinello","(294, 296)",he,30.0
37,"Aretino, Spinello","(1173, 1181)",Spinello,30.0
39,"Aretino, Spinello","(24, 26)",he,32.0
39,"Aretino, Spinello","(338, 346)",Spinello,32.0
39,"Aretino, Spinello","(505, 508)",him,32.0
39,"Aretino, Spinello","(521, 524)",him,32.0
39,"Aretino, Spinello","(544, 552)",Spinello,32.0
39,"Aretino, Spinello","(559, 561)",he,32.0
39,"Aretino, Spinello","(595, 597)",he,32.0
39,"Aretino, Spinello","(635, 638)",his,32.0
39,"Aretino, Spinello","(657, 659)",he,32.0
39,"Aretino, Spinello","(674, 677)",his,32.0
39,"Aretino, Spinello","(722, 725)",his,32.0
39,"Aretino, Spinello","(777, 780)",his,32.0
39,"Aretino, Spinello","(804, 807)",his,32.0
39,"Aretino, Spinello","(820, 822)",he,32.0
39,"Aretino, Spinello","(858, 861)",his,32.0
39,"Aretino, Spinello","(953, 955)",he,32.0
39,"Aretino, Spinello","(983, 985)",he,32.0
39,"Aretino, Spinello","(1023, 1025)",he,32.0
39,"Aretino, Spinello","(1074, 1077)",his,32.0
39,"Aretino, Spinello","(1238, 1248)",his father,32.0
39,"Aretino, Spinello","(1298, 1301)",him,32.0
39,"Aretino, Spinello","(1366, 1374)",Spinello,32.0
39,"Aretino, Spinello","(1483, 1486)",his,32.0
39,"Aretino, Spinello","(1488, 1490)",He,32.0
39,"Aretino, Spinello","(1652, 1655)",his,32.0
39,"Aretino, Spinello","(1686, 1694)",Spinello,32.0
39,"Aretino, Spinello","(1890, 1893)",his,32.0
39,"Aretino, Spinello","(1939, 1951)",the same man,32.0
39,"Aretino, Spinello","(2057, 2060)",His,32.0
43,"Starnina, Gherardo","(0, 8)",Gherardo,34.0
43,"Starnina, Gherardo","(122, 124)",he,34.0
43,"Starnina, Gherardo","(317, 324)",himself,34.0
43,"Starnina, Gherardo","(373, 375)",he,34.0
43,"Starnina, Gherardo","(381, 384)",his,34.0
43,"Viniziano, Antonio","(141, 158)",Antonio Viniziano,34.0
43,"Viniziano, Antonio","(394, 401)",Antonio,34.0
44,"Starnina, Gherardo","(23, 25)",he,35.0
44,"Starnina, Gherardo","(136, 138)",he,35.0
44,"Starnina, Gherardo","(447, 449)",he,35.0
44,"Starnina, Gherardo","(729, 737)",Gherardo,35.0
45,"Starnina, Gherardo","(30, 38)",Starnina,36.0
45,"Starnina, Gherardo","(78, 81)",his,36.0
45,"Starnina, Gherardo","(118, 121)",his,36.0
45,"Starnina, Gherardo","(140, 143)",him,36.0
45,"Starnina, Gherardo","(339, 341)",he,36.0
45,"Starnina, Gherardo","(358, 361)",his,36.0
45,"Starnina, Gherardo","(467, 475)",Starnina,36.0
45,"Starnina, Gherardo","(482, 485)",his,36.0
45,"Starnina, Gherardo","(683, 691)",Starnina,36.0
45,"Starnina, Gherardo","(840, 842)",he,36.0
45,"Starnina, Gherardo","(868, 871)",his,36.0
45,"Starnina, Gherardo","(1012, 1015)",him,36.0
45,"Starnina, Gherardo","(1263, 1266)",him,36.0
