x,p_x,y,p_y,p_yx,pmi_yx,pages,paragraphs,volume
"Tafi, Andrea",0.03225806451612903,"Como, Guido da",0.008064516129032258,0.25,4.954196310386876,[48],['155'],['0']
"Laurati, Pietro (Pietro Lorenzetti)",0.016129032258064516,"Bologhini, Bartolommeo",0.016129032258064516,0.5,4.954196310386876,[120],['260'],['0']
Margaritone,0.03225806451612903,"Tedesco, Jacopo (Lapo)",0.008064516129032258,0.25,4.954196310386876,[65],['181'],['0']
"Pisano, Andrea",0.04032258064516129,"Pisano, Nino",0.008064516129032258,0.2,4.632268215499513,[131],['278'],['0']
"Gaddi, Agnolo",0.04032258064516129,"Gaddi, Giovanni",0.008064516129032258,0.2,4.632268215499513,[217],['406'],['0']
Agnolo (of Siena),0.04032258064516129,Agostino (of Siena),0.024193548387096774,0.6,4.632268215499513,"[99, 98, 100]","['226', '225', '227']","['0', '0', '0']"
"Memmi, Simone (Simone Martini, or Sanese)",0.056451612903225805,"Memmi, Lippo",0.024193548387096774,0.42857142857142855,4.146841388329271,"[174, 173, 172]","['339', '337', '334']","['0', '0', '0']"
"Pisano, Andrea",0.04032258064516129,"Pisano, Tommaso",0.016129032258064516,0.2,3.632268215499513,[130],['275'],['0']
"Tafi, Andrea",0.03225806451612903,"Gaddi, Gaddo",0.024193548387096774,0.25,3.3692338096657193,[56],['167'],['0']
"Buffalmacco, Buonamico",0.10483870967741936,"Giovanni, Bruno di",0.016129032258064516,0.15384615384615383,3.2537565922457836,"[145, 148]","['293', '298']","['0', '0']"
"Tafi, Andrea",0.03225806451612903,"Cimabue, Giovanni",0.08870967741935484,0.5,2.494764691749578,"[50, 56]","['158', '167']","['0', '0']"
"Pisano, Niccola",0.04838709677419355,"Pisano, Giovanni",0.06451612903225806,0.3333333333333333,2.3692338096657193,"[37, 36]","['127', '126']","['0', '0']"
"Pisano, Giovanni",0.06451612903225806,Agostino (of Siena),0.024193548387096774,0.125,2.3692338096657193,[98],['225'],['0']
Giotto,0.2661290322580645,"Capanna, Puccio",0.008064516129032258,0.030303030303030304,1.9098021910284217,[91],['212'],['0']
"Cimabue, Giovanni",0.08870967741935484,"Gaddi, Gaddo",0.024193548387096774,0.0909090909090909,1.9098021910284217,[56],['167'],['0']
"Gaddi, Agnolo",0.04032258064516129,"Gaddi, Taddeo",0.056451612903225805,0.2,1.824913293441909,[218],['408'],['0']
"Pisano, Giovanni",0.06451612903225806,Agnolo (of Siena),0.04032258064516129,0.125,1.632268215499513,[98],['225'],['0']
"Buffalmacco, Buonamico",0.10483870967741936,"Orcagna, Andrea di Cione",0.03225806451612903,0.07692307692307691,1.2537565922457832,[191],['371'],['0']
"Tafi, Andrea",0.03225806451612903,Giotto,0.2661290322580645,0.5,0.9098021910284219,"[51, 50]","['162', '158']","['0', '0']"
Giotto,0.2661290322580645,"Laurati, Pietro (Pietro Lorenzetti)",0.016129032258064516,0.030303030303030304,0.9098021910284219,[117],['257'],['0']
Giotto,0.2661290322580645,"Cimabue, Giovanni",0.08870967741935484,0.15151515151515152,0.7722986672784868,"[72, 9, 50, 8, 94]","['189', '88', '158', '81', '218']","['0', '0', '0', '0', '0']"
Giotto,0.2661290322580645,"Pisano, Andrea",0.04032258064516129,0.06060606060606061,0.5878740961410596,"[126, 124]","['267', '266']","['0', '0']"
Giotto,0.2661290322580645,Stefano,0.04032258064516129,0.06060606060606061,0.5878740961410596,"[113, 111]","['251', '246']","['0', '0']"
Giotto,0.2661290322580645,"Cavallini, Pietro",0.024193548387096774,0.030303030303030304,0.32483969030726567,[162],['315'],['0']
Giotto,0.2661290322580645,"Gaddi, Taddeo",0.056451612903225805,0.06060606060606061,0.10244726897081775,"[185, 186]","['361', '364']","['0', '0']"
