x,p_x,y,p_y,p_yx,pmi_yx,pages,paragraphs,volume
Polycletus,0.001736111111111111,"Ghiberti, Bonaccorso",0.001736111111111111,1.0,9.169925001442314,[160],['181'],['1']
Simone,0.001736111111111111,"Galassi, Galasso (Galasso Ferrarese)",0.001736111111111111,1.0,9.169925001442314,[104],['112'],['1']
Simone,0.001736111111111111,Cristofano,0.001736111111111111,1.0,9.169925001442314,[104],['112'],['1']
"Galassi, Galasso (Galasso Ferrarese)",0.001736111111111111,Cristofano,0.001736111111111111,1.0,9.169925001442314,[104],['112'],['1']
"Zevio, Aldigieri (Altichiero) da",0.001736111111111111,"Avanzi, Jacopo (Jacopo Davanzo)",0.001736111111111111,1.0,9.169925001442314,[55],['60'],['3']
"Zevio, Aldigieri (Altichiero) da",0.001736111111111111,"Verona, Sebeto da",0.001736111111111111,1.0,9.169925001442314,[55],['60'],['3']
"Avanzi, Jacopo (Jacopo Davanzo)",0.001736111111111111,"Verona, Sebeto da",0.001736111111111111,1.0,9.169925001442314,[55],['60'],['3']
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.001736111111111111,Baviera,0.001736111111111111,1.0,9.169925001442314,[233],['321'],['3']
"Romano, Giulio (Giulio Pippi de' Giannuzzi)",0.001736111111111111,"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",0.001736111111111111,1.0,9.169925001442314,[237],['328'],['3']
"Bandinelli, Baccio (Baccio de' Brandini)",0.001736111111111111,"Ammanati, Bartolommeo",0.001736111111111111,1.0,9.169925001442314,[274],['378'],['3']
"Romano, Paolo",0.003472222222222222,"Mino, Maestro (Mino del Regno, or del Reame)",0.003472222222222222,1.0,8.169925001442312,"[91, 92]","['131', '133']","['2', '2']"
"Mainardi, Bastiano (Bastiano da San Gimignano)",0.003472222222222222,"Ghirlandajo, David",0.001736111111111111,0.5,8.169925001442312,[231],['339'],['2']
"Ghirlandajo, Ridolfo",0.003472222222222222,"Sarto, Andrea del (Andrea d' Agnolo)",0.001736111111111111,0.5,8.169925001442312,[281],['384'],['3']
"Casentino, Jacopo di",0.005208333333333333,"Daddi, Bernardo",0.001736111111111111,0.3333333333333333,7.584962500721156,[25],['25'],['1']
"Rosselli, Cosimo",0.005208333333333333,"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",0.001736111111111111,0.3333333333333333,7.584962500721156,[189],['281'],['2']
"Filarete, Antonio",0.005208333333333333,"Ciuffagni, Bernardo",0.001736111111111111,0.3333333333333333,7.584962500721156,[7],['11'],['2']
"Tafi, Andrea",0.006944444444444444,"Como, Guido da",0.001736111111111111,0.25,7.169925001442313,[48],['155'],['0']
Margaritone,0.006944444444444444,"Tedesco, Jacopo (Lapo)",0.001736111111111111,0.25,7.169925001442313,[65],['181'],['0']
"Laurati, Pietro (Pietro Lorenzetti)",0.003472222222222222,"Bologhini, Bartolommeo",0.003472222222222222,0.5,7.169925001442313,[120],['260'],['0']
"Pollaiuolo, Antonio",0.006944444444444444,"Pollaiuolo, Piero",0.003472222222222222,0.5,7.169925001442313,"[240, 243]","['354', '359']","['2', '2']"
"Baldovinetti, Alesso",0.006944444444444444,Graffione,0.001736111111111111,0.25,7.169925001442313,[70],['100'],['2']
"Francia, Francesco",0.006944444444444444,Fivizzano,0.001736111111111111,0.25,7.169925001442313,[29],['28'],['3']
"Signorelli, Luca (Luca da Cortona)",0.006944444444444444,"Caporali, Benedetto (Giovan Battista)",0.001736111111111111,0.25,7.169925001442313,[76],['91'],['3']
"Credi, Lorenzo di",0.003472222222222222,"Ghirlandajo, Ridolfo",0.003472222222222222,0.5,7.169925001442313,[280],['383'],['3']
Agostino (of Siena),0.005208333333333333,Agnolo (of Siena),0.008680555555555556,1.0,6.84799690655495,"[98, 99, 100]","['225', '226', '227']","['0', '0', '0']"
"Gaddi, Agnolo",0.008680555555555556,"Gaddi, Giovanni",0.001736111111111111,0.19999999999999998,6.84799690655495,[217],['406'],['0']
"Maiano, Giuliano da",0.008680555555555556,"Donzello, Polito del",0.001736111111111111,0.19999999999999998,6.84799690655495,[14],['20'],['2']
"Bellini, Jacopo",0.003472222222222222,"Bellini, Gentile",0.008680555555555556,1.0,6.84799690655495,"[174, 175]","['252', '254']","['2', '2']"
"Bellini, Gentile",0.008680555555555556,"Vivarino, Luigi",0.001736111111111111,0.19999999999999998,6.84799690655495,[179],['259'],['2']
"Mantegna, Andrea",0.008680555555555556,"Squarcione, Jacopo",0.001736111111111111,0.19999999999999998,6.84799690655495,[280],['418'],['2']
"Pisano, Andrea",0.010416666666666666,"Pisano, Nino",0.001736111111111111,0.16666666666666666,6.584962500721156,[131],['278'],['0']
Simone (brother of Donatello),0.003472222222222222,"Filarete, Antonio",0.005208333333333333,0.5,6.584962500721156,[4],['6'],['2']
"Gozzoli, Benozzo",0.010416666666666666,"Forlï¿½, Melozzo da",0.001736111111111111,0.16666666666666666,6.584962500721156,[124],['181'],['2']
"Fabriano, Gentile da",0.005208333333333333,"Pisanello, Vittore or Antonio",0.003472222222222222,0.3333333333333333,6.584962500721156,[113],['161'],['2']
Visino,0.001736111111111111,"Albertinelli, Mariotto",0.010416666666666666,1.0,6.584962500721156,[171],['225'],['3']
"Claudio, Maestro",0.003472222222222222,"Marcilla, Guglielmo da (Guillaume de Marcillac)",0.010416666666666666,1.0,6.584962500721156,"[255, 254]","['353', '351']","['3', '3']"
Torrigiano,0.005208333333333333,"Credi, Lorenzo di",0.003472222222222222,0.3333333333333333,6.584962500721156,[186],['240'],['3']
"Memmi, Simone (Simone Martini, or Sanese)",0.012152777777777778,"Memmi, Lippo",0.005208333333333333,0.42857142857142855,6.362570079384708,"[173, 172, 174]","['337', '334', '339']","['0', '0', '0']"
"Quercia, Jacopo della (Jacopo della Fonte)",0.012152777777777778,Matteo (of Lucca),0.001736111111111111,0.14285714285714285,6.362570079384708,[97],['105'],['1']
"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",0.012152777777777778,Apelles,0.001736111111111111,0.14285714285714285,6.362570079384708,[254],['376'],['2']
"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",0.012152777777777778,Biagio (pupil of Botticelli),0.001736111111111111,0.14285714285714285,6.362570079384708,[252],['372'],['2']
"Aretino, Spinello",0.013888888888888888,"Daddi, Bernardo",0.001736111111111111,0.125,6.169925001442312,[25],['25'],['1']
"Robbia, Luca della",0.013888888888888888,"Robbia, Agostino della",0.001736111111111111,0.125,6.169925001442312,[125],['135'],['1']
"Bellini, Giovanni",0.013888888888888888,"Vivarino, Luigi",0.001736111111111111,0.125,6.169925001442312,[179],['259'],['2']
"Bellini, Giovanni",0.013888888888888888,"Carpaccio (Scarpaccia), Vittore",0.001736111111111111,0.125,6.169925001442312,[58],['67'],['3']
"Maiano, Benedetto da",0.015625,"Tasso, Domenico del",0.001736111111111111,0.1111111111111111,6.0,[262],['388'],['2']
"Maiano, Benedetto da",0.015625,"Donzello, Polito del",0.001736111111111111,0.1111111111111111,6.0,[14],['20'],['2']
"Messina, Antonello da",0.003472222222222222,"Viniziano, Domenico (Domenico da Venezia)",0.008680555555555556,0.5,5.84799690655495,[63],['88'],['2']
"Verrocchio, Andrea",0.019097222222222224,Orsino,0.001736111111111111,0.0909090909090909,5.710493382805016,[276],['413'],['2']
"Castagno, Andrea dal (Andrea degli Impiccati)",0.015625,"Viniziano, Domenico (Domenico da Venezia)",0.008680555555555556,0.4444444444444444,5.678071905112638,"[102, 104, 101, 103]","['145', '149', '144', '147']","['2', '2', '2', '2']"
"Gaddi, Gaddo",0.005208333333333333,"Tafi, Andrea",0.006944444444444444,0.3333333333333333,5.584962500721157,[56],['167'],['0']
"Pisano, Andrea",0.010416666666666666,"Pisano, Tommaso",0.003472222222222222,0.16666666666666666,5.584962500721157,[130],['275'],['0']
"Ghirlandajo, Domenico",0.020833333333333332,"Mainardi, Bastiano (Bastiano da San Gimignano)",0.003472222222222222,0.16666666666666666,5.584962500721157,"[233, 231]","['342', '339']","['2', '2']"
"Ghirlandajo, Domenico",0.020833333333333332,"Ghirlandajo, David",0.001736111111111111,0.08333333333333333,5.584962500721157,[231],['339'],['2']
"Pecori, Domenico",0.003472222222222222,"Marcilla, Guglielmo da (Guillaume de Marcillac)",0.010416666666666666,0.5,5.584962500721157,[257],['358'],['3']
"Albertinelli, Mariotto",0.010416666666666666,"San Marco, Fra Bartolommeo di (Baccio della Porta)",0.003472222222222222,0.16666666666666666,5.584962500721157,[166],['215'],['3']
"Giovanni, Bruno di",0.003472222222222222,"Buffalmacco, Buonamico",0.022569444444444444,1.0,5.46948528330122,"[148, 145]","['298', '293']","['0', '0']"
"Bellini, Gentile",0.008680555555555556,"Bellini, Giovanni",0.013888888888888888,0.6,5.4329594072761065,"[174, 179, 182]","['252', '259', '263']","['2', '2', '2']"
"Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)",0.015625,"Angelo, Lorentino d'",0.005208333333333333,0.2222222222222222,5.415037499278844,"[22, 23]","['31', '35']","['2', '2']"
"San Gallo, Giuliano da",0.024305555555555556,"Giamberti, Francesco",0.001736111111111111,0.07142857142857142,5.362570079384708,[191],['246'],['3']
"Ghiberti, Bartoluccio",0.006944444444444444,"Pollaiuolo, Antonio",0.006944444444444444,0.25,5.169925001442312,[237],['346'],['2']
"Bellini, Jacopo",0.003472222222222222,"Bellini, Giovanni",0.013888888888888888,0.5,5.169925001442312,[174],['252'],['2']
"Bellini, Giovanni",0.013888888888888888,"Vecelli, Tiziano (Tiziano da Cadore)",0.003472222222222222,0.125,5.169925001442312,[183],['265'],['2']
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)",0.027777777777777776,"Luigi, Andrea (L' Ingegno)",0.001736111111111111,0.0625,5.169925001442312,[47],['51'],['3']
"Urbino, Bramante da",0.027777777777777776,"Dï¿½rer, Albrecht",0.001736111111111111,0.0625,5.169925001442312,[232],['319'],['3']
"Urbino, Bramante da",0.027777777777777776,"Romano, Giulio (Giulio Pippi de' Giannuzzi)",0.001736111111111111,0.0625,5.169925001442312,[237],['328'],['3']
"Urbino, Bramante da",0.027777777777777776,"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",0.001736111111111111,0.0625,5.169925001442312,[237],['328'],['3']
"Urbino, Bramante da",0.027777777777777776,Ventura,0.001736111111111111,0.0625,5.169925001442312,[148],['193'],['3']
"San Gallo, Giuliano da",0.024305555555555556,"San Gallo, Antonio da (the elder)",0.006944444444444444,0.21428571428571427,4.9475325801058645,"[199, 198, 202]","['264', '262', '273']","['3', '3', '3']"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,Polycletus,0.001736111111111111,0.05263157894736842,4.921997487998727,[160],['181'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,"Ghiberti, Bonaccorso",0.001736111111111111,0.05263157894736842,4.921997487998727,[160],['181'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,"Ghiberti, Vittorio",0.001736111111111111,0.05263157894736842,4.921997487998727,[162],['185'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,"Panicale, Masolino da",0.001736111111111111,0.05263157894736842,4.921997487998727,[171],['194'],['1']
"Vinci, Leonardo da",0.034722222222222224,Salai,0.001736111111111111,0.049999999999999996,4.84799690655495,[99],['124'],['3']
"Cimabue, Giovanni",0.019097222222222224,"Tafi, Andrea",0.006944444444444444,0.1818181818181818,4.710493382805016,"[56, 50]","['167', '158']","['0', '0']"
"Maiano, Giuliano da",0.008680555555555556,"Maiano, Benedetto da",0.015625,0.39999999999999997,4.678071905112638,"[13, 14]","['18', '20']","['2', '2']"
"Pisano, Niccola",0.010416666666666666,"Pisano, Giovanni",0.013888888888888888,0.3333333333333333,4.584962500721157,"[36, 37]","['126', '127']","['0', '0']"
"Pisano, Giovanni",0.013888888888888888,Agostino (of Siena),0.005208333333333333,0.125,4.584962500721157,[98],['225'],['0']
"Aretino, Spinello",0.013888888888888888,"Casentino, Jacopo di",0.005208333333333333,0.125,4.584962500721157,[25],['25'],['1']
"Buonarroti, Michelagnolo",0.020833333333333332,"Indaco, Jacopo dell'",0.003472222222222222,0.08333333333333333,4.584962500721157,[66],['80'],['3']
"Buonarroti, Michelagnolo",0.020833333333333332,"Credi, Lorenzo di",0.003472222222222222,0.08333333333333333,4.584962500721157,[186],['240'],['3']
"Rosselli, Cosimo",0.005208333333333333,"Cosimo, Piero di",0.013888888888888888,0.3333333333333333,4.584962500721157,[126],['159'],['3']
Donato (Donatello),0.04861111111111111,"Banco, Nanni d' Antonio di",0.003472222222222222,0.07142857142857142,4.362570079384708,"[114, 115]","['121', '122']","['1', '1']"
"Maiano, Benedetto da",0.015625,"Cronaca, Il (Simone del Pollaiuolo)",0.012152777777777778,0.2222222222222222,4.192645077942396,"[260, 267]","['385', '372']","['2', '3']"
"Viniziano, Antonio",0.006944444444444444,"Bellini, Giovanni",0.013888888888888888,0.25,4.169925001442312,[176],['256'],['2']
"Urbino, Bramante da",0.027777777777777776,"Claudio, Maestro",0.003472222222222222,0.0625,4.169925001442312,[254],['351'],['3']
Giotto,0.057291666666666664,"Capanna, Puccio",0.001736111111111111,0.030303030303030304,4.12553088208386,[91],['212'],['0']
"Cimabue, Giovanni",0.019097222222222224,"Gaddi, Gaddo",0.005208333333333333,0.0909090909090909,4.125530882083859,[56],['167'],['0']
"Buonarroti, Michelagnolo",0.020833333333333332,Torrigiano,0.005208333333333333,0.08333333333333333,4.0,[186],['240'],['3']
"Ghirlandajo, Domenico",0.020833333333333332,Gherardo (of Florence),0.005208333333333333,0.08333333333333333,4.0,[213],['316'],['2']
"Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)",0.015625,"Vasari, Lazzaro (the elder)",0.006944444444444444,0.1111111111111111,4.0,[52],['76'],['2']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,"Ghiberti, Bartoluccio",0.006944444444444444,0.10526315789473684,3.921997487998727,"[145, 144]","['159', '157']","['1', '1']"
"Pisano, Giovanni",0.013888888888888888,Agnolo (of Siena),0.008680555555555556,0.125,3.84799690655495,[98],['225'],['0']
"Gaddi, Taddeo",0.013888888888888888,"Gaddi, Agnolo",0.008680555555555556,0.125,3.84799690655495,[218],['408'],['0']
"Ghirlandajo, Domenico",0.020833333333333332,"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",0.012152777777777778,0.16666666666666666,3.7776075786635523,"[248, 222]","['366', '327']","['2', '2']"
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"Barile, Gian (Giovan)",0.001736111111111111,0.023255813953488372,3.7436602467402142,[238],['330'],['3']
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"Dï¿½rer, Albrecht",0.001736111111111111,0.023255813953488372,3.7436602467402142,[232],['319'],['3']
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.001736111111111111,0.023255813953488372,3.7436602467402142,[233],['321'],['3']
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,Baviera,0.001736111111111111,0.023255813953488372,3.7436602467402142,[233],['321'],['3']
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"Romano, Giulio (Giulio Pippi de' Giannuzzi)",0.001736111111111111,0.023255813953488372,3.7436602467402142,[237],['328'],['3']
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",0.001736111111111111,0.023255813953488372,3.7436602467402142,[237],['328'],['3']
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,Fivizzano,0.001736111111111111,0.023255813953488372,3.7436602467402142,[29],['28'],['3']
"Robbia, Luca della",0.013888888888888888,"Spinelli, Parri",0.010416666666666666,0.125,3.5849625007211565,[175],['200'],['1']
"Buonarroti, Michelagnolo",0.020833333333333332,"Signorelli, Luca (Luca da Cortona)",0.006944444444444444,0.08333333333333333,3.5849625007211565,[74],['87'],['3']
"Buffalmacco, Buonamico",0.022569444444444444,"Orcagna, Andrea di Cione",0.006944444444444444,0.07692307692307691,3.4694852833012204,[191],['371'],['0']
Donato (Donatello),0.04861111111111111,Simone (brother of Donatello),0.003472222222222222,0.03571428571428571,3.362570079384708,[251],['278'],['1']
Donato (Donatello),0.04861111111111111,"Padova, Vellano da",0.003472222222222222,0.03571428571428571,3.362570079384708,[74],['108'],['2']
"Uccello, Paolo",0.015625,Masaccio,0.012152777777777778,0.1111111111111111,3.192645077942396,[184],['209'],['1']
Giotto,0.057291666666666664,"Tafi, Andrea",0.006944444444444444,0.06060606060606061,3.125530882083859,"[50, 51]","['158', '162']","['0', '0']"
