artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Galassi, Galasso (Galasso Ferrarese)",0.000992063492063492,Cristofano,0.000992063492063492,1.0,9.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Galassi, Galasso (Galasso Ferrarese)",0.000992063492063492,Simone,0.000992063492063492,1.0,9.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.000992063492063492,"Galassi, Galasso (Galasso Ferrarese)",0.000992063492063492,1.0,9.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.000992063492063492,Simone,0.000992063492063492,1.0,9.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.000992063492063492,"Galassi, Galasso (Galasso Ferrarese)",0.000992063492063492,1.0,9.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.000992063492063492,Cristofano,0.000992063492063492,1.0,9.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Moccio,0.000992063492063492,Duccio,0.000992063492063492,1.0,9.977279923499918,[10],['7.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Duccio,0.000992063492063492,Moccio,0.000992063492063492,1.0,9.977279923499918,[10],['7.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Montepulciano, Marco da",0.000992063492063492,"Lorenzo, Neri di",0.000992063492063492,1.0,9.977279923499918,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Lorenzo, Neri di",0.000992063492063492,"Montepulciano, Marco da",0.000992063492063492,1.0,9.977279923499918,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Linaiuolo, Berto",0.000992063492063492,"Camicia, Chimenti",0.000992063492063492,1.0,9.977279923499918,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Camicia, Chimenti",0.000992063492063492,"Linaiuolo, Berto",0.000992063492063492,1.0,9.977279923499918,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bandinelli, Baccio (Baccio de' Brandini)",0.000992063492063492,"Ammanati, Bartolommeo",0.000992063492063492,1.0,9.977279923499918,[274],['378.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ammanati, Bartolommeo",0.000992063492063492,"Bandinelli, Baccio (Baccio de' Brandini)",0.000992063492063492,1.0,9.977279923499918,[274],['378.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bolognese, Biagio (Biagio Pupini)",0.000992063492063492,"Cotignola, Girolamo da (Girolamo Marchesi)",0.000992063492063492,1.0,9.977279923499918,[211],['298.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cotignola, Girolamo da (Girolamo Marchesi)",0.000992063492063492,"Bolognese, Biagio (Biagio Pupini)",0.000992063492063492,1.0,9.977279923499918,[211],['298.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Tedesco, Jacopo (Lapo)",0.001984126984126984,Buono,0.000992063492063492,0.5,8.977279923499918,[14],['17.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Buono,0.000992063492063492,"Tedesco, Jacopo (Lapo)",0.001984126984126984,1.0,8.977279923499918,[14],['17.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ghiberti, Bonaccorso",0.001984126984126984,Polycletus,0.000992063492063492,0.5,8.977279923499918,[160],['143.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Valdambrina, Francesco di",0.000992063492063492,"Colle, Simone da (Simone de' Bronzi)",0.001984126984126984,1.0,8.977279923499918,[200],['180.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Colle, Simone da (Simone de' Bronzi)",0.001984126984126984,"Valdambrina, Francesco di",0.000992063492063492,0.5,8.977279923499918,[200],['180.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Galassi, Galasso (Galasso Ferrarese)",0.000992063492063492,"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,1.0,8.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.000992063492063492,"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,1.0,8.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,"Galassi, Galasso (Galasso Ferrarese)",0.000992063492063492,0.5,8.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,Cristofano,0.000992063492063492,0.5,8.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,Simone,0.000992063492063492,0.5,8.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,"Verona, Sebeto da",0.000992063492063492,0.5,8.977279923499918,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.000992063492063492,"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,1.0,8.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Polycletus,0.000992063492063492,"Ghiberti, Bonaccorso",0.001984126984126984,1.0,8.977279923499918,[160],['143.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cellini, Baccio",0.001984126984126984,"Linaiuolo, Berto",0.000992063492063492,0.5,8.977279923499918,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cellini, Baccio",0.001984126984126984,"Camicia, Chimenti",0.000992063492063492,0.5,8.977279923499918,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
