pages,paragraph_id,text
4,13,"While the most noble and industrious spirits were striving, by the light of the famous Giotto and of his followers, to give to the world a proof of the ability that the benign influence of the stars and the proportionate admixture of humours had given to their intellects, and while, desirous to imitate with the excellence of their art the grandeur of Nature in order to approach as near as possible to that supreme knowledge that many call understanding, they were universally toiling, although in vain, the most benign Ruler of Heaven in His clemency turned His eyes to the earth, and, having perceived the infinite vanity of all those labours, the ardent studies without any fruit, and the presumptuous self-sufficiency of men, which is even further removed from truth than is darkness from light, and desiring to deliver us from such great errors, became minded to send down to earth a spirit with universal ability in every art and every profession, who might be able, working by himself alone, to show what manner of thing is the perfection of the art of design in executing the lines, contours, shadows, and high lights, so as to give relief to works of painting, and what it is to work with correct judgment in sculpture, and how in architecture it is possible to render habitations secure and commodious, healthy and cheerful, well-proportioned, and rich with varied ornaments. He was pleased, in addition, to endow him with the true moral philosophy and with the ornament of sweet poesy, to the end that the world might choose him and admire him as its highest exemplar in the life, works, saintliness of character, and every action of human creatures, and that he might be acclaimed by us as a being rather divine than human. And since He saw that in the practice of these rare exercises  and arts—namely, in painting, in sculpture, and in architecture—the Tuscan intellects have always been exalted and raised high above all others, from their being diligent in the labours and studies of every faculty beyond no matter what other people of Italy, He chose to give him Florence, as worthy beyond all other cities, for his country, in order to bring all the talents to their highest perfection in her, as was her due, in the person of one of her citizens."
5,14,"There was born a son, then, in the Casentino, in the year 1474, under a fateful and happy star, from an excellent and noble mother, to Lodovico di Leonardo Buonarroti Simoni, a descendant, so it is said, of the most noble and most ancient family of the Counts of Canossa. To that Lodovico, I say, who was in that year Podestà of the township of Chiusi and Caprese, near the Sasso della Vernia, where S. Francis received the Stigmata, in the Diocese of Arezzo, a son was born on the 6th of March, a Sunday, about the eighth hour of the night, to which son he gave the name Michelagnolo, because, inspired by some influence from above, and giving it no more thought, he wished to suggest that he was something celestial and divine beyond the use of mortals, as was afterwards seen from the figures of his horoscope, he having had Mercury and Venus in the second house of Jupiter, with happy augury, which showed that from the art of his brain and of his hand there would be seen to issue forth works marvellous and stupendous. Having finished his office as Podestà, Lodovico returned to Florence and settled in the village of Settignano, at a distance of three miles from the city, where he had a farm that had belonged to his forefathers; which place abounds with stone and is all full of quarries of grey-stone, which is constantly being worked by stone-cutters and sculptors, who for the most part are born in the place. Michelagnolo was put out to nurse by Lodovico in that village with the wife of a stone-cutter: wherefore the same Michelagnolo, discoursing once with Vasari, said to him jestingly, ""Giorgio, if I have anything of the good in my brain, it has come from my being born in the pure air of your country of Arezzo, even as I also sucked in with my nurse's milk the chisels and hammer with which I make my figures."" In time Lodovico's family increased, and, being in poor circumstances,  with slender revenues, he set about apprenticing his sons to the Guilds of Silk and Wool. Michelagnolo, who by that time was well grown, was placed to be schooled in grammar with Maestro Francesco da Urbino; but, since his genius drew him to delight in design, all the time that he could snatch he would spend in drawing in secret, being scolded for this by his father and his other elders, and at times beaten, they perchance considering that to give attention to that art, which was not known by them, was a mean thing and not worthy of their ancient house."
6,15,"At this time Michelagnolo had formed a friendship with Francesco Granacci, who, likewise a lad, had placed himself with Domenico Ghirlandajo in order to learn the art of painting; wherefore Granacci, loving Michelagnolo, and perceiving that he was much inclined to design, supplied him daily with drawings by Ghirlandajo, who at that time was reputed to be one of the best masters that there were not only in Florence, but throughout all Italy. Whereupon, the desire to work at art growing greater every day in Michelagnolo, Lodovico, perceiving that he could not divert the boy from giving his attention to design, and that there was no help for it, and wishing to derive some advantage from it and to enable him to learn that art, resolved on the advice of friends to apprentice him with Domenico Ghirlandajo. Michelagnolo, when he was placed with Domenico Ghirlandajo, was fourteen years of age. Now he who wrote his life after the year 1550, when I wrote these Lives the first time, has said that some persons, through not having associated with him, have related things that never happened, and have left out many that are worthy to be recorded, and has touched on this circumstance in particular, taxing Domenico with jealousy and saying that he never offered any assistance to Michelagnolo; which is clearly false, as may be seen from an entry by the hand of Lodovico, the father of Michelagnolo, written in one of Domenico's books, which book is now in the possession of his heirs. That entry runs thus: ""1488, I record, this first day of April, that I, Lodovico di Leonardo di Buonarrota, placed Michelagnolo my son with Domenico and David di Tommaso di Currado for the three years next to come, on these terms and conditions, that the said Michelagnolo shall remain with the above-named persons for the said period  of time, in order to learn to paint and to exercise that vocation; that the said persons shall have command over him; and that the same Domenico and David shall be bound to give him in those three years twenty-four florins of full weight, the first year six florins, the second year eight florins, and the third ten florins; in all, the sum of ninety-six lire."" And next, below this, is another record, or rather, entry, also written in the hand of Lodovico: ""The aforesaid Michelagnolo has received of that sum, this sixteenth day of April, two gold florins in gold. I, Lodovico di Leonardo, his father, have received twelve lire and twelve soldi as cash due to him."" These entries I have copied from the book itself, in order to prove that all that was written at that time, as well as all that is about to be written, is the truth; nor do I know that anyone has been more associated with him than I have been, or has been a more faithful friend and servant to him, as can be proved even to one who knows not the facts, neither do I believe that there is anyone who can show a greater number of letters written by his own hand, or any written with greater affection than he has expressed to me. I have made this digression for the sake of truth, and it must suffice for all the rest of his Life. Let us now return to our story."
7,16,"When the ability as well as the person of Michelagnolo had grown in such a manner, that Domenico, seeing him execute some works beyond the scope of a boy, was astonished, since it seemed to him that he not only surpassed the other disciples, of whom he had a great number, but very often equalled the things done by himself as master, it happened that one of the young men who were learning under Domenico copied with the pen some draped figures of women from works by Ghirlandajo; whereupon Michelagnolo took that drawing and with a thicker pen outlined one of those women with new lineaments, in the manner that it should have been in order to be perfect. And it is a marvellous thing to see the difference between the two manners, and the judgment and excellence of a mere lad who was so spirited and bold, that he had the courage to correct the work of his master. That sheet is now in my possession, treasured as a relic; and I received it from Granacci to put in my book of drawings together with others by the same hand, which  I received from Michelagnolo. In the year 1550, when Giorgio was in Rome, he showed it to Michelagnolo, who recognized it and was pleased to see it again, saying modestly that he knew more of the art when he was a boy than he did at that time, when he was an old man."
8,17,"Now it happened that when Domenico was at work on the great chapel of S. Maria Novella, one day that he was out Michelagnolo set himself to draw the staging from the reality, with some desks and all the appliances of art, and some of the young men who were working there. Whereupon, when Domenico had returned and seen Michelagnolo's drawing, he said, ""This boy knows more about it than I do;"" and he was struck with amazement at the novel manner and the novel method of imitation that a mere boy of such tender age displayed by reason of the judgment bestowed upon him by Heaven, for these, in truth, were as marvellous as could have been looked for in the workmanship of a craftsman who had laboured for many years. And this was because all the power and knowledge of the gracious gifts of his nature were exercised by study and by the practice of art, wherefore these gifts produced every day fruits more divine in Michelagnolo, as began to be made clearly manifest in the copy that he executed of a printed sheet by the German Martino, which gave him a very great name. For there had come to Florence at that time a scene by the above-named Martino, of the Devils beating S. Anthony, engraved on copper, and Michelagnolo copied it with the pen in such a manner that it could not be detected, and then painted that same sheet in colours, going at times, in order to counterfeit certain strange forms of devils, to buy fishes that had scales bizarre in colouring; and in that work he showed so much ability, that he acquired thereby credit and fame. He also counterfeited sheets by the hands of various old masters, making them so similar that they could not be detected, for, tinting them and giving them the appearance of age with smoke and various other materials, he made them so dark that they looked old, and, when compared with the originals, one could not be distinguished from the other. Nor did he do this with any other purpose but to obtain the originals from the hands of their owners by giving them the copies, for he admired them for the excellence of their art and  sought to surpass them in his own practice; on which account he acquired a very great name."
9,18,"At that time the Magnificent Lorenzo de' Medici kept the sculptor Bertoldo in his garden on the Piazza di S. Marco, not so much as custodian or guardian of the many beautiful antiques that he had collected and gathered together at great expense in that place, as because, desiring very earnestly to create a school of excellent painters and sculptors, he wished that these should have as their chief and guide the above-named Bertoldo, who was a disciple of Donato. Bertoldo, although he was so old that he was not able to work, was nevertheless a well-practised master and in much repute, not only because he had polished with great diligence the pulpits cast by his master Donato, but also on account of many castings in bronze that he had executed himself, of battles and certain other small works, in the execution of which there was no one to be found in Florence at that time who surpassed him. Now Lorenzo, who bore a very great love to painting and to sculpture, was grieved that there were not to be found in his time sculptors noble and famous enough to equal the many painters of the highest merit and reputation, and he determined, as I have said, to found a school. To this end he besought Domenico Ghirlandajo that, if he had among the young men in his workshop any that were inclined to sculpture, he might send them to his garden, where he wished to train and form them in such a manner as might do honour to himself, to Domenico, and to the whole city. Whereupon there were given to him by Domenico as the best of his young men, among others, Michelagnolo and Francesco Granacci; and they, going to the garden, found there that Torrigiano, a young man of the Torrigiani family, was executing in clay some figures in the round that had been given to him by Bertoldo. Michelagnolo, seeing this, made some out of emulation; wherefore Lorenzo, seeing his fine spirit, always regarded him with much expectation. And he, thus encouraged, after some days set himself to counterfeit from a piece of marble an antique head of a Faun that was there, old and wrinkled, which had the nose injured and the mouth laughing. Michelagnolo, who had never yet touched marble or chisels, succeeded so well in counterfeiting it, that the  Magnificent Lorenzo was astonished; and then, perceiving that, departing from the form of the antique head, he had opened out the mouth after his own fancy and had made a tongue, with all the teeth showing, that lord, jesting pleasantly, as was his wont, said to him, ""Surely you should have known that old folks never have all their teeth, and that some are always wanting."" It appeared to Michelagnolo, in his simplicity, both fearing and loving that lord, that he had spoken the truth; and no sooner had Lorenzo departed than he straightway broke one of the teeth and hollowed out the gum, in such a manner, that it seemed as if the tooth had dropped out. And then he awaited with eagerness the return of the Magnificent Lorenzo, who, when he had come and had seen the simplicity and excellence of Michelagnolo, laughed at it more than once, relating it as a miracle to his friends. Moreover, having made a resolve to assist and favour Michelagnolo, he sent for his father Lodovico and asked for the boy from him, saying that he wished to maintain him as one of his own children; and Lodovico gave him up willingly. Thereupon the Magnificent Lorenzo granted him a chamber in his own house and had him attended, and he ate always at his table with his own children and with other persons of quality and of noble blood who lived with that lord, by whom he was much honoured. This was in the year after he had been placed with Domenico, when Michelagnolo was about fifteen or sixteen years of age; and he lived in that house four years, which was until the death of the Magnificent Lorenzo in 1492. During that time, then, Michelagnolo had five ducats a month from that lord as an allowance and also to help his father; and for his particular gratification Lorenzo gave him a violet cloak, and to his father an office in the Customs. Truth to tell, all the young men in the garden were salaried, some little and some much, by the liberality of that magnificent and most noble citizen, and rewarded by him as long as he lived."
10,19,"At this time, at the advice of Poliziano, a man eminent in letters, Michelagnolo executed from a piece of marble given to him by that lord the Battle of Hercules with the Centaurs, which was so beautiful that now, to those who study it from time to time, it appears as if by the hand not of a youth but of a master of repute, perfected by study and  well practised in that art. It is now in his house, treasured in memory of him by his nephew Leonardo as a rare thing, which indeed it is. That Leonardo, not many years since, had in his house in memory of his uncle a Madonna of marble in low-relief by the hand of Michelagnolo, little more than one braccio in height, in which when a lad, at this same time, wishing to counterfeit the manner of Donatello, he acquitted himself so well that it seems as if by Donatello's hand, save that there may be seen in it more grace and more design. That work Leonardo afterwards gave to Duke Cosimo de' Medici, who treasures it as a unique thing, for we have no other low-relief in sculpture by his hand save that one."
10,20,"Now, returning to the garden of the Magnificent Lorenzo; that garden was full of antiques and richly adorned with excellent pictures, all gathered together in that place for their beauty, for study, and for pleasure. Michelagnolo always had the keys, and he was much more earnest than the others in his every action, and showed himself always alert, bold, and resolute. He drew for many months from the pictures of Masaccio in the Carmine, where he copied those works with so much judgment, that the craftsmen and all other men were astonished, in such sort that envy grew against him together with his fame. It is said that Torrigiano, after contracting a friendship with him, mocked him, being moved by envy at seeing him more honoured than himself and more able in art, and struck him a blow of the fist on the nose with such force, that he broke and crushed it very grievously and marked him for life; on which account Torrigiano was banished from Florence, as has been related in another place."
11,21,"When the Magnificent Lorenzo died, Michelagnolo returned to his father's house in infinite sorrow at the death of so great a man, the friend of every talent. There he bought a great piece of marble, and from it carved a Hercules of four braccia, which stood for many years in the Palace of the Strozzi; this was esteemed an admirable work, and afterwards, in the year of the siege, it was sent into France to King Francis by Giovan Battista della Palla. It is said that Piero de' Medici, who had been left heir to his father Lorenzo, having long been intimate with  Michelagnolo, used often to send for him when he wished to buy antiques, such as cameos and other carved stones. One winter, when much snow fell in Florence, he caused him to make in his courtyard a statue of snow, which was very beautiful; and he honoured Michelagnolo on account of his talents in such a manner, that his father, beginning to see that he was esteemed among the great, clothed him much more honourably than he had been wont to do."
12,22,"For the Church of S. Spirito in the city of Florence Michelagnolo made a Crucifix of wood, which was placed, as it still is, above the lunette of the high-altar; doing this to please the Prior, who placed rooms at his disposal, in which he was constantly flaying dead bodies, in order to study the secrets of anatomy, thus beginning to give perfection to the great knowledge of design that he afterwards acquired. It came about that the Medici were driven out of Florence, and a few weeks before that Michelagnolo had gone to Bologna, and then to Venice, fearing, as he saw the insolence and bad government of Piero de' Medici, lest some evil thing might befall him from his being the servant of that family; but, not having found any means of living in Venice, he returned to Bologna. There he had the misfortune to neglect, through lack of thought, when entering by the gate, to learn the countersign for going out again, a command having been issued at that time, as a precaution, at the desire of Messer Giovanni Bentivogli, that all strangers who had not the countersign should be fined fifty Bolognese lire; and having fallen into such a predicament, nor having the means to pay, Michelagnolo by chance was seen by Messer Giovan Francesco Aldovrandi, one of the Sixteen of the Government, who had compassion on him, and, having made him tell his story, liberated him, and then kept him in his house for more than a year. One day Aldovrandi took him to see the tomb of S. Dominic, made, as has been related, by Giovanni Pisano and then by Maestro Niccolò dell'Arca, sculptors of olden days. In that work there were wanting a S. Petronio and an Angel holding a candelabrum, figures of about one braccio, and Aldovrandi asked him if he felt himself able to make them; and he answered Yes. Whereupon he had the marble given to him, and Michelagnolo executed them in such a manner, that  they are the best figures that are there; and Messer Francesco Aldovrandi caused thirty ducats to be given to him for the two. Michelagnolo stayed a little more than a year in Bologna, and he would have stayed there even longer, in order to repay the courtesy of Aldovrandi, who loved him both for his design and because, liking Michelagnolo's Tuscan pronunciation in reading, he was pleased to hear from his lips the works of Dante, Petrarca, Boccaccio, and other Tuscan poets. But, since he knew that he was wasting his time, he was glad to return to Florence."
